,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.83,0.76,0.85,0.59,0.56,0.38,0.93,0.7,0.0,0.53,0.78,0.51,0.71
aubit4gl.csv,0.89,0.86,0.75,0.89,0.94,0.8,0.45,0.89,0.5,0.75,0.89,0.71,0.5
bionote.csv,0.9,0.79,0.8,0.91,0.91,0.86,0.88,0.52,0.54,0.88,0.53,0.95,0.84
liferea.csv,0.45,0.5,0.39,0.39,0.43,0.52,0.48,0.53,0.67,0.42,0.75,0.85,0.53
opensim4opencog.csv,0.41,0.48,0.32,0.34,0.37,0.37,0.3,0.43,0.62,0.3,0.43,0.49,0.38
pclasses.csv,0.51,0.76,0.75,0.44,0.83,0.8,0.8,0.58,0.5,0.9,0.83,0.54,0.94
plearn.csv,0.45,0.77,0.43,0.81,0.5,0.0,0.5,0.83,0.8,0.43,0.69,0.5,0.0
psrchive.csv,0.54,0.71,0.91,0.69,0.6,0.39,0.41,0.62,0.88,0.44,0.88,0.51,0.0
re2c.csv,0.7,0.75,0.86,0.47,0.54,0.48,0.9,0.71,0.5,0.53,0.53,0.58,0.7
rebecca-aiml.csv,0.53,0.86,0.48,0.57,0.44,0.28,0.34,0.45,0.8,0.38,0.36,0.59,0.45
thrust.csv,0.79,0.9,0.62,0.68,0.52,0.44,0.55,0.53,0.79,0.62,0.44,0.45,0.72
tzod.csv,0.51,0.65,0.52,0.48,0.46,0.39,0.34,0.54,0.75,0.46,0.82,0.53,0.71
yaprm.csv,0.45,0.46,0.38,0.5,0.47,0.0,0.43,0.89,0.67,0.4,0.59,0.94,0.86
