,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.95,0.8,0.67,0.93,0.0,0.95,0.52,0.62,0.44,0.0
critterding.csv,0.53,0.62,0.53,0.74,0.44,0.55,0.46,0.43,0.49,0.47
enlightenment.csv,0.52,0.44,0.41,0.46,0.39,0.33,0.4,0.46,0.37,0.46
exordium.csv,0.89,0.61,0.61,0.88,0.44,0.42,0.0,0.64,0.86,0.69
google-caja.csv,0.34,0.39,0.44,0.41,0.38,0.34,0.5,0.34,0.33,0.36
itext.csv,0.36,0.36,0.41,0.43,0.35,0.33,0.43,0.34,0.35,0.35
lockss.csv,0.47,0.89,0.56,0.46,0.43,0.38,0.4,0.51,0.42,0.32
modplug.csv,0.41,0.46,0.48,0.47,0.38,0.36,0.42,0.35,0.46,0.38
reactos-mirror.csv,0.56,0.53,0.44,0.5,0.42,0.33,0.4,0.94,0.43,0.38
yafdotnet.csv,0.44,0.38,0.44,0.58,0.39,0.35,0.75,0.44,0.41,0.35
