,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.76,0.44,0.62,0.73,0.66,0.4,0.62,0.36,0.55,0.7,0.8,0.4,0.64,0.75,0.84
autowikibrowser.csv,0.83,0.6,0.79,0.7,0.56,0.58,0.25,0.6,0.67,0.67,0.6,0.8,0.7,0.92,0.7
biodwh.csv,0.48,0.29,0.36,0.46,0.45,0.43,0.31,0.07,0.4,0.48,0.3,0.4,0.34,0.83,0.65
cities3d.csv,0.41,0.35,0.63,0.65,0.0,0.09,0.0,0.06,0.13,0.15,0.0,0.93,0.45,0.58,0.0
dynalloy.csv,0.62,0.77,0.69,0.78,0.9,0.7,0.78,0.21,0.4,0.64,0.9,0.47,0.52,0.42,0.67
enzo.csv,0.86,0.75,0.88,0.81,0.71,0.81,0.38,0.98,0.87,0.83,0.7,1.0,0.84,1.0,0.77
genecys.csv,0.55,0.87,0.65,0.92,0.69,0.91,1.0,0.74,0.85,0.88,0.7,0.47,0.41,0.92,0.98
kmatplot.csv,0.76,0.35,0.74,0.95,0.39,0.16,0.12,0.09,0.13,0.0,0.5,1.0,0.48,0.58,0.47
modplug.csv,0.97,0.85,0.86,0.95,0.95,0.85,1.0,0.91,0.76,0.41,1.0,0.6,1.0,0.58,0.88
nabu-library.csv,0.72,0.5,0.32,0.0,0.02,0.87,0.28,0.9,0.8,0.78,0.2,0.0,0.25,0.0,0.19
natpad.csv,0.62,0.85,0.54,0.41,0.39,0.85,0.56,0.59,0.44,0.54,0.4,0.2,0.36,0.58,0.79
nebuladevice.csv,0.17,0.17,0.4,0.24,0.11,0.03,0.03,0.43,0.07,0.05,0.0,0.73,0.23,0.25,0.0
ossbuild.csv,0.79,0.63,0.5,0.76,0.81,0.7,0.75,0.42,0.47,0.13,0.9,0.07,0.91,0.33,0.3
xemeiah.csv,0.66,0.87,0.62,0.76,0.82,0.76,0.53,0.69,0.58,0.52,0.9,0.33,0.39,0.83,0.86
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
