,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.74,0.48,0.63,0.72,0.66,0.45,0.37,0.4,0.6,0.69,0.69,0.43,0.64,0.72,0.76
autowikibrowser.csv,0.77,0.53,0.67,0.61,0.53,0.6,0.27,0.61,0.61,0.7,0.58,0.69,0.71,0.66,0.67
biodwh.csv,0.53,0.34,0.41,0.51,0.48,0.48,0.33,0.09,0.45,0.52,0.34,0.44,0.39,0.83,0.66
cities3d.csv,0.45,0.39,0.56,0.66,0.0,0.11,0.0,0.07,0.16,0.18,0.0,0.6,0.5,0.56,0.0
dynalloy.csv,0.47,0.76,0.57,0.67,0.37,0.63,0.71,0.22,0.4,0.44,0.43,0.4,0.51,0.45,0.62
enzo.csv,0.71,0.62,0.45,0.46,0.0,0.54,0.32,0.88,0.48,0.81,0.46,0.62,0.51,0.43,0.63
genecys.csv,0.51,0.37,0.56,0.65,0.71,0.5,0.24,0.74,0.29,0.0,0.52,0.36,0.44,0.35,0.24
kmatplot.csv,0.76,0.38,0.59,0.72,0.43,0.19,0.14,0.11,0.16,0.0,0.54,0.27,0.51,0.55,0.52
modplug.csv,0.38,0.58,0.56,0.4,0.38,0.53,0.21,0.2,0.77,0.45,0.45,0.55,0.09,0.55,0.68
nabu-library.csv,0.65,0.5,0.36,0.0,0.02,0.65,0.32,0.87,0.68,0.37,0.24,0.0,0.29,0.0,0.22
natpad.csv,0.63,0.5,0.54,0.46,0.44,0.79,0.49,0.63,0.49,0.37,0.42,0.23,0.4,0.51,0.75
nebuladevice.csv,0.2,0.2,0.42,0.27,0.13,0.04,0.04,0.47,0.09,0.06,0.0,0.72,0.27,0.29,0.0
ossbuild.csv,0.63,0.61,0.52,0.63,0.53,0.6,0.75,0.37,0.52,0.16,0.76,0.09,0.65,0.37,0.34
xemeiah.csv,0.62,0.46,0.58,0.75,0.7,0.75,0.49,0.49,0.62,0.42,0.6,0.37,0.44,0.47,0.77
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0
