,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.35,0.24,0.33,0.32,0.33,0.17,0.86,0.2,0.08,0.36,0.56,0.41,0.35,0.37,0.44
autowikibrowser.csv,0.39,0.63,0.59,0.6,0.56,0.31,0.63,0.32,0.54,0.16,0.49,0.56,0.26,0.69,0.41
biodwh.csv,0.13,0.0,0.13,0.1,0.33,0.06,0.56,0.01,0.12,0.2,0.23,0.28,0.06,0.18,0.28
cities3d.csv,0.31,0.31,0.62,0.28,0.0,0.06,0.0,0.65,0.0,0.0,0.0,0.75,0.17,0.49,0.0
dynalloy.csv,0.76,0.27,0.67,0.58,0.89,0.56,0.47,0.7,0.58,0.8,0.86,0.75,0.52,0.38,0.53
enzo.csv,0.58,0.63,0.85,0.83,1.0,0.77,0.8,0.37,0.83,0.24,0.81,0.75,0.8,0.87,0.64
genecys.csv,0.61,0.89,0.63,0.7,0.22,0.82,0.94,0.25,0.92,1.0,0.74,0.82,0.39,0.9,0.94
kmatplot.csv,0.23,0.4,0.68,0.64,0.33,0.03,0.3,0.12,0.0,0.0,0.16,0.93,0.35,0.54,0.11
modplug.csv,0.89,0.74,0.77,0.88,0.89,0.79,0.95,0.95,0.17,0.2,0.86,0.59,0.98,0.55,0.64
nabu-library.csv,0.54,0.48,0.36,0.07,0.0,0.68,0.16,0.24,0.58,0.88,0.16,0.0,0.26,0.18,0.16
natpad.csv,0.3,0.81,0.44,0.05,0.11,0.37,0.68,0.17,0.17,0.84,0.49,0.3,0.22,0.65,0.39
nebuladevice.csv,0.17,0.11,0.45,0.47,0.22,0.04,0.04,0.19,0.08,0.0,0.0,0.31,0.13,0.17,0.0
ossbuild.csv,0.65,0.45,0.38,0.63,0.78,0.62,0.23,0.76,0.04,0.08,0.53,0.13,0.7,0.18,0.19
xemeiah.csv,0.49,0.84,0.53,0.3,0.56,0.27,0.63,0.77,0.12,0.76,0.74,0.3,0.19,0.83,0.45
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
