,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.62,0.21,0.28,0.16,0.59,0.32,0.24,0.3,0.44,0.08,0.12,0.89,0.93,0.1,0.51,0.62,0.13,0.34
arm-webradio.csv,0.67,0.3,0.19,0.13,0.55,0.46,0.33,0.32,0.36,0.15,0.21,0.86,0.61,0.05,0.52,0.73,0.09,1.0
bwapi.csv,0.68,0.12,0.13,0.12,0.54,0.38,0.34,0.08,0.4,0.12,0.2,0.88,0.67,0.07,0.57,0.98,0.09,0.24
co-ode-owl-plugins.csv,0.72,0.17,0.21,0.22,0.65,0.44,1.0,0.89,0.58,0.11,0.1,0.91,0.6,0.05,0.65,0.77,0.26,0.26
firebreath.csv,0.65,0.16,0.2,0.19,0.58,0.97,0.24,0.16,0.44,0.1,0.21,0.83,0.62,0.05,0.54,0.82,0.08,0.25
frogatto.csv,0.89,0.12,0.2,0.21,0.75,0.44,0.38,0.15,0.54,0.2,0.22,0.87,0.7,0.18,0.97,0.75,0.24,0.38
gretl.csv,0.62,0.16,0.13,0.1,0.53,0.38,0.36,0.18,0.44,0.1,0.23,0.99,0.57,0.07,0.57,0.77,0.1,0.24
jasperreports.csv,0.62,0.25,0.0,0.75,0.5,0.47,0.0,0.08,0.88,0.09,0.0,0.86,0.6,1.0,0.0,1.0,0.0,0.0
konversation.csv,1.0,0.33,1.0,0.24,0.81,0.67,0.06,0.33,0.78,0.31,0.0,0.79,0.5,0.32,0.75,1.0,0.17,0.88
linuxsh.csv,0.56,1.0,0.15,0.11,0.55,0.4,0.27,0.11,0.48,0.13,0.28,0.8,0.66,0.04,0.51,0.77,0.08,0.61
moviesandbox.csv,0.78,0.2,0.31,0.22,0.98,0.44,0.42,0.11,0.47,0.22,0.19,0.86,0.62,0.12,0.73,0.76,0.15,0.26
ontomorphtab.csv,0.94,0.2,0.24,0.28,0.78,0.44,0.4,0.26,0.44,0.12,0.11,0.93,0.63,0.17,0.71,0.67,0.0,0.6
opengs.csv,0.62,0.14,0.47,0.26,0.71,0.6,0.29,0.57,1.0,0.21,0.18,0.92,0.74,0.11,0.82,1.0,0.36,0.48
scite-ru.csv,0.65,0.16,0.18,0.17,0.63,0.44,0.88,0.35,0.56,0.11,0.18,0.9,0.6,0.05,0.66,0.77,0.15,0.27
tokratan.csv,0.78,0.0,0.2,0.17,0.57,0.67,0.29,0.04,0.6,1.0,0.24,0.81,0.55,0.11,1.0,1.0,0.22,1.0
vrjuggler.csv,0.48,0.07,0.07,0.09,0.53,0.1,0.21,0.24,0.71,0.14,0.93,0.82,0.7,0.03,0.41,0.75,0.18,0.54
wxcode.csv,0.0,0.0,0.6,0.2,0.71,0.41,0.4,0.25,0.0,0.0,0.5,0.95,0.61,0.29,1.0,1.0,1.0,0.0
xuggle.csv,0.55,0.18,0.2,0.98,0.61,0.35,0.23,0.16,0.49,0.1,0.0,0.82,0.63,0.04,0.49,0.74,0.17,0.2
