,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.29,0.82,0.42,0.52,0.55,0.23,0.19,0.78,0.83,0.4,0.19,0.6,0.92,0.81,0.75,0.41,0.57,0.69
arm-webradio.csv,0.8,0.64,0.75,0.87,0.86,0.6,0.38,0.83,0.72,0.73,0.56,0.73,0.48,1.0,0.64,0.6,0.86,0.97
bwapi.csv,0.86,0.45,0.92,0.83,0.7,0.92,0.95,0.33,0.46,0.8,0.62,0.57,0.69,0.88,0.58,0.99,0.86,0.8
co-ode-owl-plugins.csv,0.6,1.0,0.58,0.83,0.91,0.62,0.24,0.89,0.85,1.0,0.12,0.47,0.51,0.92,0.78,0.99,0.86,0.97
firebreath.csv,0.86,0.91,0.67,0.61,0.7,0.93,0.62,0.89,0.98,0.8,0.94,1.0,1.0,0.85,0.58,0.37,0.71,0.91
frogatto.csv,0.49,0.27,0.92,0.65,0.68,0.75,0.67,0.28,0.28,0.67,0.5,0.72,0.57,0.96,1.0,0.6,0.86,0.54
gretl.csv,0.86,0.73,0.92,0.76,0.89,0.67,0.71,1.0,0.93,0.8,0.81,0.99,0.76,0.96,0.92,0.79,0.86,0.77
jasperreports.csv,0.6,0.09,0.0,0.13,0.02,0.12,0.0,0.11,0.13,0.27,0.0,0.04,0.03,1.0,0.0,0.03,0.0,0.0
konversation.csv,0.17,0.09,1.0,0.09,0.3,0.07,0.05,0.06,0.13,0.33,0.0,0.28,0.23,0.31,0.17,0.07,0.14,0.4
linuxsh.csv,0.63,1.0,0.75,0.74,0.86,0.53,0.76,0.22,0.81,0.93,0.81,0.65,0.49,0.73,0.83,0.84,0.71,0.94
moviesandbox.csv,0.4,1.0,0.75,0.54,0.98,0.57,0.52,0.28,0.56,0.8,0.25,0.49,0.64,0.65,0.53,0.31,0.43,0.4
ontomorphtab.csv,0.91,0.91,0.75,0.57,0.73,0.73,0.1,0.61,0.94,0.87,0.06,0.61,0.58,0.92,0.33,0.42,0.0,0.6
opengs.csv,0.23,0.18,0.58,0.39,0.45,0.05,0.19,0.22,0.94,0.6,0.12,0.4,0.33,0.62,0.25,0.04,0.57,0.46
scite-ru.csv,0.89,0.73,0.75,0.83,0.89,0.63,0.71,0.78,0.89,1.0,0.38,0.53,0.52,1.0,0.81,0.64,0.86,0.97
tokratan.csv,0.2,0.0,0.67,0.48,0.18,0.17,0.33,0.11,0.06,0.93,0.44,0.49,0.41,0.31,0.03,0.06,0.57,0.03
vrjuggler.csv,0.46,0.09,0.08,0.07,0.23,0.02,0.43,0.67,0.19,0.07,0.88,0.22,0.08,0.35,0.31,0.02,0.43,0.2
wxcode.csv,0.0,0.0,0.5,0.09,0.11,0.12,0.29,0.06,0.0,0.0,0.06,0.14,0.12,0.38,0.06,0.04,0.86,0.0
xuggle.csv,0.51,0.91,0.67,0.89,0.61,0.58,0.57,0.67,0.83,0.67,0.0,0.8,0.85,0.58,0.69,0.43,0.86,0.54
