,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.32,0.19,0.0,0.9,0.31,0.54,0.0,0.0,0.42,0.0,0.02,0.48,0.25,0.03,0.0,0.01
codepurge.csv,0.78,0.58,0.72,0.42,0.87,0.35,0.48,0.68,0.13,0.45,0.09,0.65,0.41,0.22,0.5,0.32,0.19
fontforge.csv,1.0,0.84,1.0,1.0,1.0,0.52,1.0,0.19,0.97,1.0,0.43,0.95,0.76,0.99,0.99,0.86,0.99
gmerlin.csv,0.0,0.97,0.97,1.0,0.0,0.82,1.0,0.0,0.96,0.0,0.91,0.87,1.0,1.0,0.0,0.33,0.63
hatari.csv,0.67,0.43,0.31,0.76,0.84,0.46,0.81,0.94,0.97,0.8,0.17,0.92,0.69,0.63,0.92,0.32,0.36
jaolt.csv,0.51,0.58,0.11,0.62,0.04,0.39,0.42,0.58,0.37,0.05,0.57,0.67,0.45,0.19,0.33,0.5,0.28
jcl.csv,0.61,0.3,0.58,0.42,0.43,0.39,0.81,0.61,0.7,0.9,0.39,0.12,0.45,0.7,0.29,0.41,0.69
ltp.csv,0.27,0.65,0.83,0.62,0.39,0.73,0.81,0.9,0.72,0.55,0.43,0.48,0.76,0.86,0.77,0.26,0.63
mia.csv,0.39,0.0,0.42,0.76,0.13,0.12,0.38,0.55,0.63,0.95,0.04,0.22,0.03,0.04,0.25,0.23,0.26
net-snmp.csv,0.35,0.27,0.33,0.42,0.67,0.6,0.31,1.0,0.9,0.5,0.74,0.43,0.41,0.27,0.26,0.3,0.32
opde.csv,1.0,0.39,1.0,0.22,0.92,0.5,0.5,0.19,0.57,0.0,0.22,0.96,0.62,0.54,0.8,0.45,0.53
oppna-program-hsatools.csv,0.55,0.43,0.58,1.0,0.66,0.34,0.75,0.97,0.83,0.95,0.13,0.99,0.55,0.16,0.65,0.48,0.58
powerfolder-.csv,0.37,0.28,0.14,0.6,0.22,0.18,0.19,0.26,0.29,0.48,0.3,0.66,0.14,0.01,0.57,0.38,0.26
qlc.csv,0.0,0.73,0.0,0.56,0.74,0.3,0.44,0.0,0.42,0.15,0.13,0.85,0.17,0.32,0.25,0.0,0.43
quantlib.csv,1.0,0.11,0.0,0.0,1.0,0.26,0.0,1.0,0.18,1.0,0.22,0.12,0.14,0.0,1.0,0.98,0.28
tcl.csv,0.65,0.82,0.75,0.96,0.63,0.7,0.77,0.0,0.55,0.38,0.7,0.88,0.93,0.5,0.0,0.26,0.78
