,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.43,0.36,0.0,0.81,0.58,0.07,0.0,0.0,0.67,0.38,0.09,0.65,0.4,0.21,0.0,0.0
codepurge.csv,0.59,0.51,0.55,0.4,0.76,0.51,0.07,0.59,0.06,0.61,0.42,0.16,0.66,0.47,0.22,0.44,0.13
fontforge.csv,0.6,0.46,0.59,0.53,0.82,0.6,0.04,0.75,0.23,0.66,0.79,0.17,0.72,0.24,0.22,0.48,0.33
gmerlin.csv,0.0,0.44,0.58,0.53,0.0,0.57,0.04,0.0,0.23,0.0,0.9,0.19,0.83,0.25,0.0,0.56,0.29
hatari.csv,0.53,0.57,0.6,0.49,0.76,0.52,0.05,0.57,0.23,0.66,0.68,0.17,0.65,0.2,0.21,0.42,0.32
jaolt.csv,0.65,0.49,0.53,0.44,0.05,0.46,0.08,0.55,0.35,0.0,0.89,0.15,0.77,0.3,0.15,0.41,0.38
jcl.csv,0.67,0.51,0.57,0.37,0.79,0.51,0.05,0.54,0.2,0.54,0.75,0.18,0.54,0.18,0.37,0.49,0.32
ltp.csv,0.31,0.44,0.6,0.55,0.8,0.56,0.0,0.61,0.21,0.46,0.76,0.22,0.71,0.25,0.19,0.28,0.35
mia.csv,0.53,0.28,0.51,0.45,0.1,0.34,0.09,0.66,0.16,0.64,0.57,0.34,0.28,0.0,0.14,0.46,0.22
net-snmp.csv,0.64,0.45,0.51,0.4,0.63,0.44,0.11,0.61,0.26,0.41,0.71,0.24,0.5,0.2,0.09,0.35,0.11
opde.csv,0.62,0.38,0.62,0.51,0.82,0.46,0.07,0.38,0.27,0.0,0.67,0.17,0.7,0.33,0.17,0.43,0.22
oppna-program-hsatools.csv,0.69,0.5,0.63,0.53,0.83,0.55,0.05,0.58,0.25,0.65,0.9,0.17,0.75,0.16,0.2,0.36,0.22
powerfolder-.csv,0.54,0.61,0.21,0.38,0.2,0.37,0.17,0.44,0.38,0.43,0.67,0.15,0.59,0.07,0.2,0.37,0.22
qlc.csv,0.0,0.48,0.0,0.41,0.55,0.55,0.08,0.0,0.35,0.33,0.42,0.15,0.51,0.29,0.33,0.0,0.31
quantlib.csv,0.62,0.1,0.24,0.0,0.82,0.23,0.0,0.61,0.05,0.66,0.13,0.23,0.08,0.0,0.22,0.47,0.48
tcl.csv,0.44,0.43,0.51,0.47,0.7,0.47,0.0,0.0,0.24,0.7,0.76,0.1,0.79,0.15,0.0,0.22,0.31
