,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.46,0.52,0.0,0.56,0.63,0.0,0.05,0.0,0.18,0.09,0.0,0.0
fontforge.csv,0.37,0.61,0.0,0.0,0.05,0.67,0.09,0.77,0.42,0.0,0.09,0.52,0.53
gmerlin.csv,0.0,0.13,0.24,0.0,0.0,0.45,0.0,0.0,0.13,0.0,0.0,0.63,0.6
hatari.csv,0.56,0.65,0.69,0.6,0.53,0.55,0.69,0.13,0.09,0.52,0.58,0.44,0.66
jcl.csv,0.66,0.6,0.66,0.53,0.73,0.59,0.57,0.54,0.47,0.32,0.77,0.59,0.54
ltp.csv,0.32,0.59,0.42,0.61,0.73,0.55,0.0,0.53,0.51,0.57,0.48,0.26,0.47
net-snmp.csv,0.68,0.69,0.65,0.55,0.44,0.52,0.9,0.0,0.51,0.54,0.24,0.55,0.56
opde.csv,0.0,0.62,0.0,0.52,0.45,0.54,0.83,0.1,0.57,0.0,0.48,0.59,0.39
powerfolder-.csv,0.58,0.75,0.46,0.49,0.29,0.39,0.93,0.63,0.64,0.53,0.54,0.6,0.63
qlc.csv,0.24,0.61,0.2,0.54,0.0,0.53,0.97,0.1,0.61,0.51,0.64,0.11,0.34
tcl.csv,0.46,0.45,0.48,0.26,0.59,0.53,0.0,0.0,0.58,0.71,0.0,0.19,0.51
wxstudio.csv,0.59,0.33,0.49,0.42,0.38,0.46,0.75,0.34,0.2,0.45,0.0,0.56,0.75
