,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,1.0,0.62,0.57,1.0,0.79,0.51,1.09,0.96,1.0,0.87,0.93,1.0,1.0
fontforge.csv,0.91,0.74,1.01,1.0,0.99,0.56,0.98,0.36,0.88,1.0,0.98,0.8,0.8
gmerlin.csv,1.0,0.98,0.95,1.0,1.0,0.86,1.0,1.0,0.97,1.0,1.0,0.5,0.72
hatari.csv,0.74,0.55,0.44,0.7,0.79,0.66,0.69,0.98,0.98,0.81,0.68,0.68,0.58
jcl.csv,0.68,0.53,0.65,0.64,0.52,0.59,0.79,0.71,0.85,0.94,0.36,0.58,0.57
ltp.csv,0.83,0.75,0.87,0.59,0.48,0.78,1.27,0.81,0.79,0.65,0.84,0.82,0.81
net-snmp.csv,0.43,0.6,0.57,0.78,0.86,0.82,0.35,1.0,0.83,0.78,0.84,0.7,0.76
opde.csv,1.0,0.59,1.0,0.57,0.86,0.68,0.5,0.92,0.66,1.0,0.84,0.59,0.88
powerfolder-.csv,0.66,0.33,0.61,0.8,0.85,0.71,0.27,0.66,0.56,0.75,0.77,0.61,0.49
qlc.csv,0.82,0.73,0.83,0.61,1.0,0.57,0.15,0.92,0.54,0.68,0.5,0.92,0.79
tcl.csv,0.81,0.87,0.84,0.95,0.65,0.75,1.25,1.0,0.65,0.45,1.0,0.87,0.66
wxstudio.csv,0.61,0.78,0.62,0.79,0.77,0.65,0.62,0.92,0.89,0.87,1.0,0.62,0.36
