,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.8,0.63,0.91,0.96,0.32,0.57,0.53,0.61,0.63,0.76,0.65,0.57,0.51,0.62,0.32,0.66,1.0,0.57,0.75,0.75
galaxium.csv,0.8,0.77,0.76,0.96,0.36,0.44,0.8,0.64,0.42,0.74,0.66,0.77,0.74,0.59,0.69,0.52,1.0,0.85,1.0,0.17
itext.csv,0.98,0.9,0.94,0.96,0.48,0.7,0.87,0.77,0.74,0.93,0.87,0.96,0.86,0.76,0.99,0.75,1.0,0.81,1.0,0.88
jahshakafx.csv,0.84,0.65,0.85,0.58,0.3,0.24,0.47,0.46,0.79,0.68,0.68,0.79,0.63,0.5,0.76,0.5,0.67,0.64,1.0,0.17
kolmafia.csv,0.96,0.89,1.0,0.96,0.48,0.66,0.93,0.47,0.53,0.95,0.84,0.87,0.77,0.82,0.95,0.77,1.0,0.7,1.0,0.33
mecat.csv,0.01,0.44,0.36,0.46,0.08,0.05,0.07,0.01,0.26,0.26,0.17,0.02,0.0,0.09,0.33,0.11,1.0,0.06,0.5,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.82,0.56,0.67,0.42,0.12,0.16,0.47,0.45,0.0,0.51,0.42,0.57,0.11,0.26,0.3,0.2,0.67,0.36,0.5,0.12
mptvseries.csv,0.67,0.78,0.58,0.58,0.34,0.19,0.53,0.17,0.63,0.45,0.65,0.53,0.6,0.21,0.69,0.27,0.67,0.17,0.75,0.25
novembre.csv,0.77,0.59,0.24,0.38,0.14,0.34,0.6,0.39,0.05,0.59,0.56,0.53,0.09,0.26,0.15,0.36,0.67,0.62,1.0,0.29
ns-3.csv,0.89,0.75,0.3,0.5,0.62,0.73,1.0,0.4,0.32,0.57,0.73,0.68,0.89,0.88,0.65,0.55,0.67,0.85,0.75,0.58
nullc.csv,0.79,1.0,1.0,1.0,0.66,0.47,0.8,0.93,0.79,0.68,0.72,0.83,0.63,0.12,1.0,0.68,1.0,0.7,1.0,0.38
pixel-commandos.csv,0.04,0.57,0.27,0.42,0.16,0.16,0.33,0.08,0.47,0.43,0.18,0.23,0.11,0.0,0.05,0.23,0.33,0.0,1.0,0.0
plee-the-bear.csv,0.83,0.43,0.79,0.17,0.52,0.63,0.6,0.54,0.42,0.54,0.62,0.72,0.94,0.65,0.68,0.64,0.33,0.53,1.0,0.67
quantlib.csv,1.0,1.0,1.0,0.0,0.0,0.79,0.0,0.0,0.95,0.83,1.0,0.51,0.0,0.15,0.82,0.0,0.0,1.0,0.0,0.62
reaper-ecad.csv,0.52,0.24,0.42,0.71,0.24,0.03,0.2,0.29,0.21,0.32,0.31,0.0,0.06,0.0,0.03,0.14,0.33,0.26,0.25,0.0
sbml.csv,0.89,0.79,0.82,0.96,0.42,0.58,0.93,0.53,0.37,0.78,0.93,0.72,0.74,0.88,0.73,0.77,0.67,0.66,0.75,0.67
smartgwt.csv,0.84,0.73,0.79,0.12,0.38,0.6,0.73,0.59,0.79,0.71,0.6,0.47,0.51,0.21,0.76,0.73,0.0,0.64,1.0,0.62
unladen-swallow.csv,0.18,0.44,0.52,0.08,0.14,0.34,0.53,0.22,0.32,0.21,0.22,0.53,0.43,0.53,0.11,0.3,0.0,0.51,0.5,0.25
vienna-add-in.csv,0.73,0.69,0.24,0.38,0.5,0.27,0.07,0.7,0.21,0.45,0.27,0.81,0.8,0.24,0.88,0.89,0.33,0.45,0.5,0.46
wow-qrsk.csv,0.12,0.44,0.85,0.96,0.16,0.14,0.0,0.42,0.74,0.09,0.84,0.6,0.49,0.53,0.21,0.2,0.67,0.83,0.0,0.0
