,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.48,0.49,0.6,0.62,0.31,0.58,0.31,0.73,0.24,0.56,0.31
emono.csv,0.87,0.68,0.87,0.85,0.51,0.68,0.91,0.78,0.59,0.74,0.48
haggle.csv,0.15,0.32,0.43,0.54,0.41,0.43,0.39,0.61,0.51,0.6,0.19
hannosset.csv,0.05,0.12,0.0,0.0,0.2,0.22,0.38,0.33,0.03,0.12,0.19
jas.csv,0.27,0.27,0.53,0.6,0.51,0.48,0.45,0.18,0.62,0.58,0.71
jgossipforum.csv,0.58,0.24,0.4,0.07,0.35,0.49,0.29,0.03,0.38,0.56,0.24
madman.csv,0.18,0.17,0.23,0.38,0.27,0.26,0.28,0.51,0.32,0.3,0.29
mediate.csv,0.58,0.22,0.5,0.65,0.16,0.51,0.15,0.43,0.32,0.4,0.17
ngl.csv,0.89,0.93,0.77,0.49,0.73,0.81,0.35,0.67,0.57,0.77,0.88
pustefix.csv,0.27,0.39,0.27,0.5,0.51,0.33,0.41,0.94,0.49,0.42,0.45
synecdoche.csv,0.55,0.24,0.53,0.43,0.94,0.42,0.48,0.47,0.24,0.26,1.0
