,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.14,0.68,0.53,0.01,0.32,0.07,0.66,0.03,0.76,0.38,0.77
emono.csv,0.22,0.65,0.57,0.02,0.14,0.11,0.53,0.03,0.59,0.32,0.73
haggle.csv,0.25,0.75,0.57,0.03,0.26,0.06,0.63,0.05,0.58,0.43,0.74
hannosset.csv,0.5,0.58,1.0,0.0,0.29,0.25,0.45,0.0,0.67,0.44,0.6
jas.csv,0.39,0.74,0.45,0.04,0.19,0.03,0.64,0.28,0.42,0.26,0.6
jgossipforum.csv,0.32,0.76,0.56,0.25,0.26,0.0,0.69,0.0,0.61,0.38,0.74
madman.csv,0.15,0.81,0.56,0.02,0.38,0.1,0.68,0.0,0.45,0.41,0.64
mediate.csv,0.22,0.77,0.62,0.03,0.27,0.03,0.7,0.09,0.68,0.48,0.79
ngl.csv,0.29,0.65,0.6,0.03,0.18,0.1,0.67,0.08,0.62,0.38,0.62
pustefix.csv,0.45,0.66,0.5,0.03,0.22,0.0,0.56,0.07,0.55,0.42,0.67
synecdoche.csv,0.28,0.64,0.6,0.03,0.15,0.12,0.54,0.02,0.7,0.65,0.66
