,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.44,0.71,0.59,0.58,0.56
n2cms.csv,0.69,0.71,0.47,0.92,0.86
nassp.csv,0.21,0.36,0.35,0.83,0.28
nug.csv,0.98,0.36,0.76,0.67,0.97
oorexx.csv,0.25,0.79,0.41,0.92,0.69
