,ifa
qtractor.csv,0.0
oppna-program-hsatools.csv,0.0
acegisecurity.csv,1.0
customsagetv.csv,0.0
openxava.csv,22.0
botsnscouts.csv,0.0
google-caja.csv,0.0
freebios.csv,0.0
tktoolkit.csv,6.0
mbse.csv,3.0
gebr.csv,1.0
flexpay.csv,1.0
bnetd.csv,0.0
gabel.csv,0.0
mpgravity.csv,0.0
vars-redux.csv,0.0
jam-daq.csv,0.0
haphazard.csv,1.0
httpcontentparser.csv,10.0
mia.csv,8.0
vrjuggler.csv,4.0
myfaces.csv,5.0
massiv.csv,89.0
wow-qrsk.csv,3.0
bacnet.csv,1.0
gretl.csv,1.0
empserver.csv,0.0
plplot.csv,2.0
mycila.csv,0.0
ogrehg.csv,0.0
alleg.csv,0.0
k3b.csv,0.0
jaxlib.csv,16.0
chaperon.csv,51.0
unbvision.csv,1.0
genecys.csv,0.0
openmalaria.csv,1.0
wishmaster.csv,4.0
bibedt.csv,3.0
yarp0.csv,13.0
tmva.csv,1.0
azureus.csv,2.0
bulmages.csv,5.0
ctrlr.csv,0.0
rodin-b-sharp.csv,0.0
kowari.csv,3.0
ppcboot.csv,0.0
clamav.csv,1.0
motu.csv,4.0
gnupdate.csv,0.0
customwars.csv,11.0
libtorrent.csv,1.0
fceugc.csv,3.0
minig.csv,0.0
calcubetimer.csv,0.0
iaml.csv,2.0
jppf-project.csv,0.0
anaxagora.csv,10.0
ipfire-wall.csv,1.0
sumatrapdf.csv,0.0
gwanted.csv,11.0
cubefs.csv,0.0
moving-pictures.csv,2.0
alsa.csv,1.0
nodal.csv,19.0
monetdb.csv,3.0
xemeiah.csv,0.0
riff-evolve.csv,0.0
owlapi.csv,20.0
ogre.csv,0.0
