,pci_20
qtractor.csv,0.5
oppna-program-hsatools.csv,0.83
acegisecurity.csv,0.6
customsagetv.csv,0.83
openxava.csv,0.33
botsnscouts.csv,0.43
google-caja.csv,0.51
freebios.csv,0.49
tktoolkit.csv,0.65
mbse.csv,0.35
gebr.csv,0.51
flexpay.csv,0.83
bnetd.csv,0.52
gabel.csv,0.42
mpgravity.csv,0.35
vars-redux.csv,0.43
jam-daq.csv,0.34
haphazard.csv,0.45
httpcontentparser.csv,0.5
mia.csv,0.4
vrjuggler.csv,0.54
myfaces.csv,0.64
massiv.csv,0.57
wow-qrsk.csv,0.6
bacnet.csv,0.44
gretl.csv,0.4
empserver.csv,0.58
plplot.csv,0.69
mycila.csv,0.86
ogrehg.csv,0.58
alleg.csv,0.43
k3b.csv,0.52
jaxlib.csv,0.33
chaperon.csv,0.71
unbvision.csv,0.58
genecys.csv,0.37
openmalaria.csv,0.53
wishmaster.csv,0.77
bibedt.csv,0.86
yarp0.csv,0.61
tmva.csv,0.44
azureus.csv,0.52
bulmages.csv,0.43
ctrlr.csv,0.71
rodin-b-sharp.csv,0.54
kowari.csv,0.36
ppcboot.csv,0.94
clamav.csv,0.8
motu.csv,0.48
gnupdate.csv,0.68
customwars.csv,0.64
libtorrent.csv,0.45
fceugc.csv,0.63
minig.csv,0.86
calcubetimer.csv,0.86
iaml.csv,0.97
jppf-project.csv,0.91
anaxagora.csv,0.59
ipfire-wall.csv,0.42
sumatrapdf.csv,0.7
gwanted.csv,0.54
cubefs.csv,0.7
moving-pictures.csv,0.64
alsa.csv,0.59
nodal.csv,0.52
monetdb.csv,0.39
xemeiah.csv,0.67
riff-evolve.csv,0.42
owlapi.csv,0.47
ogre.csv,0.97
