,recall
qtractor.csv,0.61
oppna-program-hsatools.csv,0.21
acegisecurity.csv,0.55
customsagetv.csv,0.08
openxava.csv,0.69
botsnscouts.csv,0.56
google-caja.csv,0.45
freebios.csv,0.51
tktoolkit.csv,0.43
mbse.csv,0.92
gebr.csv,0.41
flexpay.csv,0.33
bnetd.csv,0.49
gabel.csv,1.0
mpgravity.csv,0.75
vars-redux.csv,0.59
jam-daq.csv,0.76
haphazard.csv,0.23
httpcontentparser.csv,0.7
mia.csv,0.94
vrjuggler.csv,0.19
myfaces.csv,0.69
massiv.csv,0.5
wow-qrsk.csv,0.63
bacnet.csv,0.68
gretl.csv,0.46
empserver.csv,0.42
plplot.csv,0.48
mycila.csv,0.2
ogrehg.csv,0.51
alleg.csv,0.55
k3b.csv,0.38
jaxlib.csv,1.0
chaperon.csv,0.0
unbvision.csv,0.57
genecys.csv,0.69
openmalaria.csv,0.6
wishmaster.csv,0.21
bibedt.csv,0.2
yarp0.csv,0.25
tmva.csv,0.45
azureus.csv,0.55
bulmages.csv,0.48
ctrlr.csv,0.1
rodin-b-sharp.csv,0.23
kowari.csv,0.86
ppcboot.csv,0.46
clamav.csv,0.35
motu.csv,0.62
gnupdate.csv,0.7
customwars.csv,0.29
libtorrent.csv,0.55
fceugc.csv,0.43
minig.csv,0.24
calcubetimer.csv,0.12
iaml.csv,0.14
jppf-project.csv,0.12
anaxagora.csv,0.33
ipfire-wall.csv,0.61
sumatrapdf.csv,0.52
gwanted.csv,0.57
cubefs.csv,0.19
moving-pictures.csv,0.29
alsa.csv,0.31
nodal.csv,0.22
monetdb.csv,0.72
xemeiah.csv,0.48
riff-evolve.csv,0.96
owlapi.csv,0.84
ogre.csv,0.12
