,pf
qtractor.csv,0.21
oppna-program-hsatools.csv,0.04
acegisecurity.csv,0.2
customsagetv.csv,0.05
openxava.csv,0.49
botsnscouts.csv,0.22
google-caja.csv,0.07
freebios.csv,0.39
tktoolkit.csv,0.34
mbse.csv,0.59
gebr.csv,0.03
flexpay.csv,0.19
bnetd.csv,0.23
gabel.csv,0.43
mpgravity.csv,0.34
vars-redux.csv,0.27
jam-daq.csv,0.52
haphazard.csv,0.37
httpcontentparser.csv,0.45
mia.csv,0.89
vrjuggler.csv,0.39
myfaces.csv,0.17
massiv.csv,0.32
wow-qrsk.csv,0.14
bacnet.csv,0.49
gretl.csv,0.2
empserver.csv,0.27
plplot.csv,0.11
mycila.csv,0.12
ogrehg.csv,0.18
alleg.csv,0.47
k3b.csv,0.12
jaxlib.csv,0.79
chaperon.csv,0.15
unbvision.csv,0.16
genecys.csv,0.33
openmalaria.csv,0.29
wishmaster.csv,0.16
bibedt.csv,0.12
yarp0.csv,0.37
tmva.csv,0.23
azureus.csv,0.27
bulmages.csv,0.31
ctrlr.csv,0.2
rodin-b-sharp.csv,0.36
kowari.csv,0.68
ppcboot.csv,0.2
clamav.csv,0.08
motu.csv,0.37
gnupdate.csv,0.23
customwars.csv,0.24
libtorrent.csv,0.28
fceugc.csv,0.23
minig.csv,0.13
calcubetimer.csv,0.0
iaml.csv,0.1
jppf-project.csv,0.0
anaxagora.csv,0.3
ipfire-wall.csv,0.35
sumatrapdf.csv,0.07
gwanted.csv,0.32
cubefs.csv,0.24
moving-pictures.csv,0.19
alsa.csv,0.18
nodal.csv,0.32
monetdb.csv,0.36
xemeiah.csv,0.21
riff-evolve.csv,0.86
owlapi.csv,0.65
ogre.csv,1.0
