,precision
qtractor.csv,0.77
oppna-program-hsatools.csv,0.96
acegisecurity.csv,0.51
customsagetv.csv,0.67
openxava.csv,0.14
botsnscouts.csv,0.71
google-caja.csv,0.95
freebios.csv,0.56
tktoolkit.csv,0.16
mbse.csv,0.34
gebr.csv,0.98
flexpay.csv,0.26
bnetd.csv,0.7
gabel.csv,0.17
mpgravity.csv,0.39
vars-redux.csv,0.62
jam-daq.csv,0.55
haphazard.csv,0.14
httpcontentparser.csv,0.16
mia.csv,0.1
vrjuggler.csv,0.12
myfaces.csv,0.4
massiv.csv,0.01
wow-qrsk.csv,0.52
bacnet.csv,0.42
gretl.csv,0.92
empserver.csv,0.62
plplot.csv,0.62
mycila.csv,0.29
ogrehg.csv,0.64
alleg.csv,0.65
k3b.csv,0.88
jaxlib.csv,0.05
chaperon.csv,0.0
unbvision.csv,0.55
genecys.csv,0.93
openmalaria.csv,0.62
wishmaster.csv,0.23
bibedt.csv,0.29
yarp0.csv,0.22
tmva.csv,0.84
azureus.csv,0.41
bulmages.csv,0.29
ctrlr.csv,0.14
rodin-b-sharp.csv,0.26
kowari.csv,0.1
ppcboot.csv,0.72
clamav.csv,0.7
motu.csv,0.32
gnupdate.csv,0.41
customwars.csv,0.18
libtorrent.csv,0.91
fceugc.csv,0.47
minig.csv,0.52
calcubetimer.csv,1.0
iaml.csv,0.65
jppf-project.csv,1.0
anaxagora.csv,0.18
ipfire-wall.csv,0.46
sumatrapdf.csv,0.8
gwanted.csv,0.27
cubefs.csv,0.65
moving-pictures.csv,0.57
alsa.csv,0.75
nodal.csv,0.2
monetdb.csv,0.49
xemeiah.csv,0.67
riff-evolve.csv,0.52
owlapi.csv,0.2
ogre.csv,0.87
