,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,guineu.csv
baadengine.csv,0.0,0.0,0.0,0.05,0.0,0.54,0.45,0.09,0.38,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
elmo.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.04,0.0,0.02,,0.0,0.01,0.0,0.05
encog-java.csv,0.69,0.0,0.46,0.0,0.0,0.0,0.0,,0.0,0.0,0.65,0.26,0.01,0.0,0.62,0.24,0.52,0.0,0.0,0.62
google-collections.csv,0.0,0.0,0.0,0.17,0.0,0.52,0.49,0.09,0.51,0.26,0.0,0.17,0.0,0.49,0.0,0.0,0.0,,0.0,0.0
gtad.csv,0.7,,0.53,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.45,0.42,0.0,0.0,0.48,0.59,0.79,0.01,0.0,0.65
guineu.csv,0.0,0.27,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.59,0.05,0.0,0.02,0.44,0.43,0.0,0.0,
h2database.csv,0.0,0.0,0.0,0.0,0.0,0.21,0.66,0.0,0.17,0.66,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.62,0.0
jahshaka.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.61,0.0,0.24,0.0,0.0,0.36
jahshakafx.csv,0.0,0.0,0.0,0.24,0.0,0.3,0.56,0.27,0.62,,0.0,0.37,0.21,0.0,0.0,0.0,0.0,0.0,0.56,0.0
jedit.csv,0.0,0.0,0.0,0.09,0.0,,0.0,0.05,0.47,0.8,0.0,0.09,0.0,0.44,0.0,0.0,0.0,0.0,0.56,0.0
jmoney.csv,0.49,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.24,0.0,0.0,0.0,0.24,,0.0,0.0,0.7
ktc.csv,0.0,0.0,0.0,0.0,,0.05,0.36,0.0,0.0,0.36,0.0,0.0,0.05,0.27,0.0,0.0,0.0,0.0,0.0,0.0
net-snmp.csv,0.0,0.38,0.41,0.49,0.0,0.29,,0.05,0.51,0.32,0.09,0.5,0.57,0.02,0.5,0.0,0.0,0.66,0.5,0.0
owlib.csv,0.41,0.78,0.55,,0.0,0.06,0.49,0.66,0.41,0.78,0.58,0.65,0.6,0.05,0.47,0.69,0.67,0.55,0.24,0.52
paintown.csv,0.74,0.0,0.0,0.22,0.0,0.0,0.0,0.21,0.74,0.01,0.0,0.52,,0.0,0.0,0.44,0.28,0.34,0.02,0.57
rhex.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.54,0.0,0.29,0.05,0.0,0.18
selenium.csv,0.05,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.07,0.0,0.0,0.23,0.0,0.18,0.0,0.0
umber.csv,0.0,0.17,0.0,0.33,0.0,0.0,0.0,0.58,,0.0,0.0,0.31,0.29,0.0,0.3,0.0,0.0,0.81,0.04,0.13
x4x.csv,0.43,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.0,,0.47,0.56,0.07,0.0,0.46
