,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.53,0.67,0.06,0.45,0.8,0.63,0.28,0.29,0.35,0.73
jmule.csv,0.55,0.61,0.09,0.41,0.56,0.64,0.32,0.23,0.29,0.84
nosleepsoftware.csv,0.54,0.5,0.56,0.0,0.27,0.54,0.0,0.19,0.03,0.5
open-ms.csv,0.65,0.57,0.5,0.6,0.82,0.53,0.42,0.3,0.36,0.43
qgo.csv,0.87,0.54,0.27,0.55,0.57,0.52,0.28,0.23,0.23,0.46
rezilla.csv,0.51,0.56,0.31,0.65,0.44,0.56,0.25,0.2,0.3,0.4
riff-evolve.csv,0.59,0.73,0.0,0.57,0.78,0.74,0.31,0.35,0.5,0.0
uwom.csv,0.5,0.74,0.0,0.47,0.64,0.6,0.67,0.26,0.49,0.68
virtuoso.csv,0.49,0.52,0.25,0.33,0.48,0.49,0.46,0.2,0.22,0.46
yield.csv,0.58,0.63,0.29,0.5,0.78,0.51,0.28,0.23,0.32,0.45
