,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.61,0.52,1.0,0.59,0.49,0.5,0.73,0.57,0.46,0.56
jmule.csv,0.58,0.57,1.03,0.6,0.64,0.49,0.55,0.73,0.68,0.19
nosleepsoftware.csv,0.79,0.93,0.41,1.0,0.96,0.93,1.0,0.81,1.01,0.64
open-ms.csv,0.43,0.64,0.39,0.84,0.86,0.65,0.56,0.55,0.54,0.8
qgo.csv,0.18,0.8,0.75,0.7,0.57,0.66,0.64,0.83,0.9,0.97
rezilla.csv,0.63,0.73,0.74,0.29,0.85,0.69,0.77,0.8,0.57,0.92
riff-evolve.csv,0.55,0.6,1.06,0.79,0.43,0.4,0.58,0.54,0.37,1.0
uwom.csv,0.66,0.64,1.12,0.48,0.47,0.7,0.95,0.59,0.29,0.5
virtuoso.csv,0.86,0.97,1.0,0.97,0.96,0.98,0.53,0.98,0.94,0.93
yield.csv,0.56,0.53,0.65,0.8,0.34,0.9,0.7,0.71,0.52,1.0
