,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.62,0.6,0.07,0.51,0.57,0.74,0.62,0.57,0.71,0.51
jmule.csv,0.66,0.62,0.21,0.71,0.68,0.7,0.61,0.6,0.69,0.88
nosleepsoftware.csv,0.27,0.1,0.65,0.0,0.06,0.1,0.0,0.26,0.04,0.54
open-ms.csv,0.71,0.62,0.7,0.19,0.17,0.56,0.52,0.58,0.57,0.52
qgo.csv,0.87,0.53,0.58,0.37,0.68,0.56,0.66,0.5,0.37,0.13
rezilla.csv,0.6,0.6,0.64,0.79,0.2,0.41,0.57,0.53,0.58,0.1
riff-evolve.csv,0.59,0.47,0.0,0.25,0.64,0.69,0.71,0.55,0.71,0.0
uwom.csv,0.59,0.42,0.0,0.71,0.71,0.37,0.06,0.65,0.84,0.58
virtuoso.csv,0.44,0.13,0.0,0.09,0.17,0.09,0.54,0.09,0.24,0.27
yield.csv,0.74,0.66,0.62,0.25,0.73,0.35,0.64,0.61,0.74,0.0
