,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.59,0.62,0.06,0.46,0.63,0.71,0.43,0.38,0.47,0.56
jmule.csv,0.63,0.62,0.12,0.55,0.67,0.68,0.42,0.36,0.45,0.86
nosleepsoftware.csv,0.33,0.13,0.59,0.0,0.08,0.13,0.0,0.21,0.03,0.52
open-ms.csv,0.69,0.63,0.58,0.25,0.24,0.55,0.44,0.39,0.43,0.52
qgo.csv,0.87,0.66,0.39,0.4,0.65,0.55,0.41,0.37,0.36,0.63
rezilla.csv,0.57,0.67,0.48,0.71,0.25,0.45,0.38,0.32,0.39,0.14
riff-evolve.csv,0.58,0.54,0.0,0.31,0.68,0.71,0.45,0.41,0.58,0.0
uwom.csv,0.56,0.5,0.0,0.57,0.69,0.43,0.09,0.38,0.62,0.6
virtuoso.csv,0.65,0.68,0.41,0.49,0.65,0.66,0.48,0.34,0.35,0.62
yield.csv,0.69,0.66,0.41,0.3,0.74,0.66,0.42,0.35,0.47,0.62
