,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.29,0.38,0.63,0.11,0.42
nabu-library.csv,0.23,0.28,0.44,0.33,0.82
pcgen.csv,0.69,0.71,0.42,0.45,0.67
selenium.csv,0.68,0.66,0.43,0.56,0.47
tolven.csv,0.62,0.65,0.14,0.62,0.23
