,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.66,0.88,0.88,0.93,0.88,0.84,0.78,0.87,1.0,0.34,0.91,0.86,0.66,0.71
autowikibrowser.csv,0.66,0.6,0.18,0.59,0.67,0.68,0.58,0.6,0.5,0.43,0.55,0.98,0.57,0.49
cities3d.csv,0.76,0.28,0.24,0.6,0.58,0.92,0.51,0.38,0.36,0.66,0.32,0.32,0.36,0.49
kmatplot.csv,0.93,0.16,0.39,0.23,0.38,0.27,0.28,0.2,0.07,0.32,0.27,0.18,0.26,0.35
libarchive.csv,0.72,0.8,0.3,0.61,0.56,0.73,0.66,0.55,0.5,0.54,0.68,0.7,0.36,0.94
lphant.csv,0.72,0.72,0.24,0.6,0.73,0.86,0.77,0.63,0.86,0.58,1.0,0.66,0.89,0.59
mob-sen-plat.csv,0.28,0.36,0.97,0.34,0.2,0.19,0.27,0.38,0.21,0.52,0.32,0.36,0.21,0.35
mscore.csv,0.66,0.88,0.58,0.73,0.73,0.68,0.74,0.98,0.5,0.62,0.5,0.41,0.64,0.63
pidgin.csv,0.83,0.6,0.3,0.8,0.66,0.68,0.98,0.6,0.64,0.6,0.68,0.66,0.68,0.67
quickfast.csv,0.72,0.88,0.42,0.7,0.69,0.7,0.87,0.75,0.57,0.58,0.95,0.98,1.0,0.78
raygina.csv,0.79,0.88,0.12,0.52,0.39,0.76,0.53,0.6,0.43,0.41,0.59,0.43,0.34,1.0
riff-evolve.csv,0.86,0.6,0.24,0.59,0.59,0.7,0.74,0.5,0.64,0.93,0.5,0.73,0.68,0.69
upp-mirror.csv,0.45,0.64,0.12,0.44,0.98,0.32,0.58,0.25,0.43,0.53,0.36,0.3,0.55,0.33
wishmaster.csv,0.14,0.08,0.24,0.16,0.2,0.41,0.0,0.2,0.93,0.27,0.18,0.18,0.04,0.06
