,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.24,0.0,0.29,0.09,0.21,0.05,0.29,0.02,0.27,0.31
arsenal-1.csv,0.95,0.21,0.32,0.06,0.17,0.29,0.07,0.07,0.5,0.07,0.0
barracudamvc.csv,0.2,0.73,1.0,1.0,1.0,0.86,1.0,0.95,0.9,0.87,1.0
irplus.csv,0.7,0.82,0.16,0.68,0.35,0.43,0.39,0.66,0.3,0.67,0.44
lite.csv,0.65,0.33,0.42,0.16,0.51,0.64,0.2,0.27,0.23,0.33,0.31
mevenide.csv,0.6,0.55,0.26,0.06,0.05,0.43,0.07,0.02,0.2,0.13,0.06
mumble.csv,0.4,0.88,0.61,0.32,0.26,0.71,0.8,0.59,0.43,0.33,0.62
ontopia.csv,0.15,0.67,0.16,0.68,0.65,0.36,0.36,0.78,0.02,0.67,0.81
openintents.csv,0.5,0.27,1.0,0.81,0.75,0.43,0.75,0.85,0.44,0.93,0.75
ta3d.csv,0.15,0.06,0.74,0.03,0.02,0.29,0.0,0.2,0.02,0.13,0.38
tweetsharp.csv,0.3,0.39,0.81,0.87,0.51,0.14,0.59,0.93,0.41,0.27,0.62
