,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.41,0.18,0.0,0.71,0.41,0.22,0.31,0.5,0.18,0.44,0.43
arsenal-1.csv,0.78,0.33,0.7,0.15,0.29,0.12,0.4,0.29,0.41,0.28,0.16
barracudamvc.csv,0.8,0.58,0.62,0.55,0.43,0.87,0.53,0.41,0.26,0.84,0.77
irplus.csv,0.71,0.57,0.36,0.61,0.52,0.54,0.55,0.47,0.33,0.73,0.62
lite.csv,0.63,0.26,0.55,0.31,0.24,0.48,0.42,0.59,0.44,0.53,0.49
mevenide.csv,0.69,0.39,0.29,0.15,0.35,0.27,0.07,0.12,0.68,0.17,0.33
mumble.csv,0.76,0.59,0.47,0.22,0.67,0.87,0.5,0.37,0.19,0.46,0.77
ontopia.csv,0.15,0.55,0.36,0.46,0.46,0.84,0.22,0.43,0.12,0.83,0.74
openintents.csv,0.54,0.67,0.64,0.6,0.24,0.59,0.45,0.46,0.32,0.67,0.68
ta3d.csv,0.24,0.28,0.48,0.0,0.0,0.33,0.0,0.08,0.18,0.17,0.78
tweetsharp.csv,0.51,0.53,0.65,0.54,0.47,0.68,0.38,0.39,0.17,0.85,0.64
