,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.9,0.27,0.0,0.65,0.57,0.77,0.71,0.43,0.6,0.76,0.69
arsenal-1.csv,0.81,0.46,0.67,0.5,0.35,0.56,0.7,0.5,0.3,0.88,1.0
barracudamvc.csv,0.95,0.44,0.46,0.39,0.28,0.85,0.36,0.26,0.17,0.75,0.67
irplus.csv,0.82,0.43,0.58,0.48,0.42,0.83,0.48,0.32,0.3,0.75,0.73
lite.csv,0.81,0.31,0.54,0.5,0.2,0.75,0.5,0.5,0.41,0.77,0.72
mevenide.csv,0.84,0.36,0.43,0.5,0.67,0.68,0.25,0.5,0.57,0.67,0.88
mumble.csv,0.9,0.43,0.42,0.29,0.55,0.87,0.36,0.27,0.16,0.74,0.74
ontopia.csv,0.75,0.44,0.58,0.38,0.32,0.92,0.24,0.29,0.5,0.79,0.68
openintents.csv,0.81,0.64,0.47,0.44,0.17,0.85,0.34,0.3,0.25,0.67,0.67
ta3d.csv,0.83,0.67,0.41,0.0,0.0,0.8,0.0,0.11,0.6,0.67,0.81
tweetsharp.csv,0.86,0.5,0.5,0.4,0.35,0.95,0.32,0.25,0.14,0.89,0.68
