,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.75,0.9,1.0,0.37,0.69,0.89,0.8,0.5,0.9,0.74,0.75
arsenal-1.csv,0.98,0.77,0.41,0.91,0.78,0.98,0.72,0.8,0.61,0.84,0.91
barracudamvc.csv,0.36,0.75,1.0,1.0,1.0,0.86,1.0,0.95,1.0,0.87,1.0
irplus.csv,0.8,0.83,0.76,0.69,0.48,0.74,0.53,0.67,0.69,0.73,0.63
lite.csv,0.81,0.85,0.61,0.79,0.85,0.91,0.67,0.38,0.56,0.68,0.7
mevenide.csv,0.73,0.79,0.82,0.91,0.76,0.93,0.96,0.93,0.27,0.91,0.8
mumble.csv,0.53,0.88,0.78,0.88,0.31,0.73,0.82,0.71,0.87,0.75,0.66
ontopia.csv,0.93,0.72,0.76,0.79,0.68,0.42,0.88,0.79,0.93,0.68,0.84
openintents.csv,0.78,0.41,1.0,0.81,0.96,0.7,0.82,0.85,0.71,0.99,0.81
ta3d.csv,0.87,0.83,0.85,1.0,1.0,0.84,1.0,0.95,0.9,0.91,0.45
tweetsharp.csv,0.71,0.59,0.81,0.89,0.58,0.49,0.79,0.94,0.89,0.33,0.74
