,guineu.csv,pokeglobal.csv,graphmak.csv,pdfedit.csv,jhotdraw.csv,red5.csv,cascading.csv,twostep.csv,ofbiz.csv
cascading.csv,0.74,0.61,0.6,0.74,0.65,0.6,0.0,0.47,0.64
graphmak.csv,0.83,0.79,0.0,0.89,0.92,0.8,0.86,0.73,0.86
guineu.csv,0.15,0.91,0.7,0.91,0.93,0.72,0.84,0.73,0.81
jhotdraw.csv,0.77,0.96,0.92,0.98,0.08,0.91,0.96,0.73,0.95
ofbiz.csv,0.85,0.65,0.66,0.82,0.7,0.57,0.77,0.68,0.01
pdfedit.csv,0.68,0.71,0.7,0.02,0.67,0.73,0.48,0.95,0.74
pokeglobal.csv,0.65,0.04,0.81,0.69,0.8,0.63,0.67,0.61,0.59
red5.csv,0.5,0.68,0.63,0.91,0.54,0.02,0.67,0.53,0.74
twostep.csv,0.82,0.97,0.73,0.95,0.53,0.57,0.67,0.04,0.71
