,guineu.csv,pokeglobal.csv,graphmak.csv,pdfedit.csv,jhotdraw.csv,red5.csv,cascading.csv,twostep.csv,ofbiz.csv
cascading.csv,0.53,0.48,0.61,0.59,0.58,0.55,1.0,0.68,0.62
graphmak.csv,0.22,0.26,1.0,0.15,0.1,0.25,0.18,0.32,0.17
guineu.csv,0.88,0.12,0.4,0.11,0.1,0.33,0.24,0.32,0.25
jhotdraw.csv,0.27,0.3,0.14,0.02,0.93,0.11,0.07,0.35,0.07
ofbiz.csv,0.18,0.45,0.41,0.23,0.36,0.53,0.3,0.48,0.99
pdfedit.csv,0.4,0.34,0.43,0.98,0.44,0.43,0.6,0.18,0.33
pokeglobal.csv,0.66,0.98,0.55,0.57,0.52,0.63,0.55,0.71,0.66
red5.csv,0.58,0.39,0.48,0.14,0.65,0.98,0.44,0.57,0.37
twostep.csv,0.5,0.35,0.4,0.26,0.64,0.65,0.54,0.97,0.54
