,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.39,0.99,0.0,0.57,0.59,0.56,0.54,0.5,0.82,0.53,0.73,0.6,0.66,0.49,0.98,0.49,0.51,0.67,0.46
autat.csv,0.33,1.0,0.86,0.8,0.78,0.91,0.83,0.55,0.83,0.93,0.7,0.79,0.57,0.67,0.67,0.88,0.84,0.98,0.91
brlcad.csv,0.93,0.84,0.45,0.95,0.86,0.47,0.47,0.68,0.51,0.46,0.64,0.77,0.73,0.56,0.69,0.65,0.63,0.57,0.58
delphilhlplib.csv,0.37,0.45,0.43,0.58,0.49,0.62,0.46,0.33,0.79,0.57,0.8,0.53,0.41,0.55,0.7,0.58,0.52,0.56,0.45
exordium.csv,0.52,0.55,0.61,0.96,0.75,0.65,0.8,0.48,0.91,0.69,0.67,0.95,0.59,0.93,0.94,0.92,0.95,0.6,0.75
fltk.csv,0.34,0.63,0.61,0.51,0.58,0.55,0.69,0.43,0.96,0.83,0.36,0.71,0.53,0.93,0.96,0.62,0.73,0.71,0.53
google-web-toolkit.csv,0.83,0.67,0.88,0.62,0.56,0.47,0.85,0.58,0.96,0.66,0.75,0.72,0.57,0.72,0.98,0.94,0.66,0.51,0.58
gzigzag.csv,0.45,0.99,0.95,0.72,0.62,0.82,0.75,0.75,0.91,0.88,0.93,0.97,0.6,0.97,0.97,0.92,0.94,0.86,0.92
irrlicht.csv,0.36,0.45,0.59,0.43,0.43,0.44,0.46,0.32,0.45,0.37,0.36,0.5,0.44,0.39,0.5,0.44,0.41,0.43,0.42
mimosa.csv,0.41,0.49,0.41,0.48,0.5,0.44,0.35,0.38,0.52,0.43,0.55,0.54,0.44,0.39,0.62,0.44,0.48,0.46,0.39
mptvseries.csv,0.35,0.51,0.5,0.54,0.61,0.58,0.58,0.47,0.7,0.57,0.57,0.78,0.55,0.52,0.93,0.95,0.64,0.78,0.71
ogre.csv,0.34,0.45,0.41,0.42,0.43,0.39,0.36,0.31,0.43,0.35,0.36,0.47,0.43,0.38,0.48,0.43,0.4,0.4,0.38
openfrag.csv,0.32,0.44,0.43,0.45,0.47,0.42,0.45,0.33,0.55,0.44,0.33,0.54,0.45,0.54,0.6,0.52,0.45,0.43,0.45
qdvdauthor.csv,0.79,0.77,0.68,0.62,0.62,0.95,0.5,0.67,0.79,0.48,0.81,0.66,0.57,0.51,0.93,0.59,0.56,0.69,0.43
qse.csv,0.33,0.55,0.5,0.51,0.56,0.59,0.62,0.39,0.97,0.86,0.65,0.9,0.52,0.86,0.94,0.75,0.69,0.69,0.55
sauerbraten.csv,0.4,0.41,0.57,0.56,0.51,0.6,0.56,0.39,0.75,0.7,0.56,0.68,0.5,0.92,0.98,0.83,0.69,0.56,0.55
toped.csv,0.33,0.48,0.38,0.47,0.45,0.48,0.44,0.33,0.59,0.41,0.36,0.51,0.41,0.5,0.64,0.59,0.45,0.45,0.38
truevision.csv,0.34,0.49,0.46,0.61,0.49,0.42,0.46,0.38,0.97,0.41,0.63,0.64,0.5,0.62,0.94,0.39,0.55,0.46,0.57
zoolib.csv,0.52,0.98,0.83,0.75,0.58,0.95,0.86,0.57,0.86,0.88,0.9,0.97,0.9,0.83,0.96,0.91,0.95,0.98,0.9
