,recall,precision,pf,wins
auber.csv,0.45,0.53,0.33,4
autat.csv,0.24,0.69,0.11,13
brlcad.csv,0.45,0.39,0.48,0
delphilhlplib.csv,0.68,0.67,0.46,11
exordium.csv,0.29,0.79,0.06,17
fltk.csv,0.38,0.76,0.16,15
google-web-toolkit.csv,0.3,0.67,0.24,8
gzigzag.csv,0.27,0.69,0.18,10
irrlicht.csv,0.94,0.57,0.92,2
mimosa.csv,0.71,0.61,0.59,6
mptvseries.csv,0.57,0.67,0.37,12
ogre.csv,1.0,0.55,0.99,1
openfrag.csv,0.74,0.61,0.61,7
qdvdauthor.csv,0.38,0.56,0.38,3
qse.csv,0.52,0.76,0.22,16
sauerbraten.csv,0.41,0.68,0.29,9
toped.csv,0.79,0.61,0.69,5
truevision.csv,0.57,0.67,0.35,14
zoolib.csv,0.24,0.83,0.06,18
