,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.0,0.0,0.23,0.32,0.03,0.0,0.02,0.0,0.1,0.0,0.08,0.13,0.09
delphilhlplib.csv,0.35,0.75,0.57,0.63,0.23,0.52,0.57,0.0,0.8,0.57,0.46,0.45,0.6
esmf.csv,0.23,1.0,0.48,0.71,0.0,0.74,0.42,0.89,0.61,0.94,0.86,0.58,0.96
gbif-indexingtoolkit.csv,0.11,0.0,0.38,0.52,0.42,0.07,0.08,0.56,0.26,0.69,0.0,0.42,0.13
jgameai.csv,0.06,0.0,0.14,0.0,0.06,0.05,0.58,0.0,0.06,0.11,0.58,0.16,0.04
jsecurity.csv,0.34,0.0,0.41,0.37,0.32,0.17,0.0,0.94,0.23,0.26,0.3,0.13,0.22
libopenmetaverse.csv,0.74,1.0,0.75,0.49,0.68,0.53,0.72,0.78,0.48,0.0,0.78,0.65,0.66
mptvseries.csv,0.35,0.5,0.28,0.16,0.05,0.31,0.26,0.22,0.18,0.06,0.12,0.0,0.06
mule.csv,0.15,0.0,0.27,0.24,0.31,0.01,0.11,0.17,0.32,0.2,0.32,0.23,0.13
piccolo2d.csv,0.02,0.0,0.09,0.0,0.03,0.01,0.04,0.0,0.0,0.06,0.04,0.03,0.0
vars-redux.csv,0.11,0.75,0.1,0.19,0.2,0.41,0.27,0.22,0.17,0.2,0.3,0.1,0.01
werx.csv,0.97,0.0,0.99,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.92,1.0,0.97
