,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.0,0.0,101.0,0.0,159.0,238.0,3.0,0.0,4.0,0.0,1.0,3.0,1.0
delphilhlplib.csv,3.0,0.0,47.0,0.0,3.0,3.0,17.0,0.0,31.0,0.0,0.0,7.0,12.0
esmf.csv,69.0,0.0,101.0,0.0,0.0,0.0,5.0,1.0,23.0,0.0,2.0,6.0,2.0
gbif-indexingtoolkit.csv,69.0,0.0,101.0,0.0,13.0,2.0,13.0,0.0,14.0,1.0,0.0,3.0,1.0
jgameai.csv,69.0,0.0,101.0,0.0,3.0,1.0,11.0,0.0,5.0,2.0,10.0,5.0,1.0
jsecurity.csv,69.0,0.0,29.0,1.0,10.0,3.0,0.0,1.0,12.0,0.0,0.0,2.0,10.0
libopenmetaverse.csv,3.0,0.0,61.0,0.0,15.0,0.0,11.0,1.0,17.0,0.0,2.0,4.0,1.0
mptvseries.csv,0.0,0.0,18.0,5.0,4.0,1.0,14.0,2.0,10.0,2.0,1.0,0.0,3.0
mule.csv,4.0,0.0,101.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0
piccolo2d.csv,69.0,0.0,101.0,88.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
vars-redux.csv,69.0,0.0,101.0,2.0,1.0,3.0,17.0,0.0,5.0,0.0,5.0,1.0,0.0
werx.csv,3.0,0.0,83.0,0.0,22.0,0.0,11.0,1.0,36.0,0.0,2.0,6.0,2.0
