,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.8,0.88,0.96,0.97,0.75,0.0,0.75,0.0,0.89,0.0,0.8,0.83,0.89
delphilhlplib.csv,0.68,0.43,0.54,0.66,0.73,0.55,0.58,0.42,0.42,0.56,0.44,0.52,0.46
esmf.csv,0.8,0.63,0.77,0.55,0.9,0.46,0.67,0.39,0.47,0.37,0.4,0.77,0.37
gbif-indexingtoolkit.csv,0.86,0.94,0.79,0.73,0.76,0.97,0.95,0.63,0.85,0.47,0.9,0.74,0.95
jgameai.csv,0.75,0.75,0.93,0.84,0.89,0.95,0.76,0.86,0.83,0.83,0.51,0.83,0.86
jsecurity.csv,0.59,0.92,0.57,0.66,0.53,0.78,0.84,0.38,0.74,0.63,0.63,0.86,0.92
libopenmetaverse.csv,0.44,0.47,0.51,0.77,0.49,0.56,0.62,0.53,0.49,0.56,0.44,0.43,0.51
mptvseries.csv,0.64,0.84,0.62,0.77,0.89,0.5,0.58,0.88,0.8,0.83,0.9,0.61,0.91
mule.csv,0.91,0.94,0.63,0.71,0.49,0.48,0.79,0.73,0.55,0.65,0.58,0.69,0.67
piccolo2d.csv,0.0,0.0,0.89,0.0,0.8,0.5,0.86,0.89,0.92,0.8,0.67,0.5,0.5
vars-redux.csv,0.86,0.83,0.9,0.59,0.76,0.51,0.71,0.54,0.75,0.76,0.56,0.8,0.51
werx.csv,0.37,0.36,0.42,0.48,0.42,0.42,0.46,0.38,0.36,0.35,0.39,0.34,0.37
