,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.42,0.19,0.36,0.23,0.94,0.36
l2j.csv,0.67,0.54,0.36,0.61,0.67,0.99
mule.csv,0.99,0.19,0.18,0.4,0.45,0.21
springside.csv,0.63,0.96,0.52,0.75,0.61,0.23
swtfox.csv,0.39,0.47,1.0,0.3,0.52,0.49
twostep.csv,0.54,0.45,0.44,1.0,0.68,0.49
