,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.62,0.89,0.65,0.89,0.68,0.91
l2j.csv,0.39,0.52,0.42,0.4,0.42,0.45
mule.csv,0.47,0.9,0.8,0.62,0.48,0.85
springside.csv,0.38,0.61,0.47,0.34,0.41,0.8
swtfox.csv,0.72,0.56,0.7,0.83,0.6,0.61
twostep.csv,0.44,0.71,0.51,0.5,0.39,0.52
