,gotjava.csv,empserver.csv,ctrlr.csv,anaxagora.csv,gmerlin.csv,ffigo.csv,skia.csv,zemljanka.csv,wikipediardware.csv
anaxagora.csv,1.0,0.97,0.95,0.05,0.85,0.9,1.0,0.97,0.97
ctrlr.csv,1.0,0.8,0.14,0.91,0.88,1.0,1.02,0.89,0.92
empserver.csv,1.27,0.0,0.92,0.86,0.62,0.71,0.43,0.86,0.67
ffigo.csv,1.0,0.75,0.74,0.6,0.7,0.01,0.8,0.86,0.7
gmerlin.csv,0.43,0.89,0.88,0.74,0.06,0.87,0.62,0.69,1.01
skia.csv,0.15,0.82,1.01,0.55,0.66,0.92,0.0,0.82,0.97
wikipediardware.csv,0.97,0.83,0.75,0.82,0.64,0.53,0.89,0.81,0.08
zemljanka.csv,1.0,0.92,0.95,1.0,0.81,0.93,0.94,0.0,0.93
