,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.57,0.5,0.02,0.48,0.32,0.41,0.37,0.39,0.48,0.51,0.6,0.59,0.11,0.49,0.47,0.72
arsenal-1.csv,0.62,0.75,0.32,0.0,0.06,0.76,0.31,0.48,0.18,0.33,0.0,0.32,0.0,0.16,0.16,0.48
bnetd.csv,0.9,0.75,0.57,0.55,0.79,0.85,0.0,0.63,0.52,0.58,0.4,0.42,0.63,0.36,0.79,0.46
cascading.csv,0.67,0.33,0.17,0.16,0.32,0.44,0.06,0.72,0.03,0.07,0.2,0.23,0.05,0.24,0.84,0.33
fm-classic.csv,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free-evolution.csv,0.19,0.33,0.52,0.48,0.46,0.04,0.57,0.26,0.18,0.13,0.6,0.01,0.26,0.38,0.26,0.25
gnome-jabber.csv,0.95,0.75,1.0,0.94,0.87,0.96,0.83,0.59,0.91,1.0,0.4,0.61,0.95,0.96,1.0,0.71
guineu.csv,0.0,0.42,0.08,0.06,0.67,0.29,0.09,0.13,0.12,0.02,0.8,0.19,0.0,0.08,0.11,0.09
ipfilter.csv,0.81,0.83,0.75,0.97,0.92,0.87,0.71,0.85,0.85,0.93,1.0,0.84,0.05,0.97,0.95,0.96
jruby.csv,0.34,0.58,0.45,0.45,0.84,0.24,0.89,0.76,0.85,0.6,0.2,0.69,0.84,0.42,0.05,0.23
l2j.csv,0.53,0.67,0.57,0.58,0.63,0.63,0.29,0.48,0.7,0.49,0.2,0.63,0.42,0.0,0.68,0.32
libmesh.csv,0.43,0.58,0.23,0.68,0.02,0.35,0.26,0.07,0.15,0.16,0.0,0.07,0.05,0.82,0.16,0.61
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stajistics.csv,0.59,0.42,0.1,0.19,0.33,0.41,0.06,0.39,0.33,0.29,0.6,0.19,0.95,0.2,0.47,0.0
twostep.csv,0.41,0.25,0.02,0.19,0.65,0.21,0.03,0.22,0.24,0.0,0.2,0.21,0.0,0.18,0.32,0.14
x4x.csv,0.38,0.08,0.73,0.77,0.98,0.54,0.74,0.5,0.7,0.89,1.0,0.68,1.0,0.68,0.84,0.46
