,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.43,0.4,0.51,0.42,0.58,0.53,0.83,0.72,0.56,0.43,0.63,0.63,0.67,0.6,0.67,0.59
arsenal-1.csv,0.41,0.5,0.38,0.56,0.75,0.35,0.41,0.38,0.76,0.39,0.83,0.5,0.0,0.8,0.83,0.71
bnetd.csv,0.28,0.33,0.34,0.41,0.32,0.3,0.5,0.45,0.36,0.38,0.37,0.48,0.37,0.38,0.41,0.35
cascading.csv,0.39,0.36,0.64,0.88,0.7,0.47,0.83,0.4,0.43,0.91,0.92,0.62,0.69,0.64,0.48,0.5
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free-evolution.csv,0.92,0.67,0.71,0.5,0.7,0.67,0.74,0.95,0.94,0.92,0.83,0.79,0.54,0.91,0.88,0.95
gnome-jabber.csv,0.31,0.4,0.41,0.38,0.34,0.31,0.4,0.48,0.45,0.43,0.52,0.47,0.34,0.41,0.48,0.46
guineu.csv,0.72,0.48,0.86,0.83,0.57,0.68,0.89,0.89,0.94,0.89,0.58,0.79,0.0,0.96,0.7,0.89
ipfilter.csv,0.41,0.44,0.56,0.36,0.4,0.34,0.68,0.49,0.42,0.48,0.61,0.54,0.45,0.4,0.47,0.47
jruby.csv,0.53,0.37,0.77,0.35,0.35,0.81,0.49,0.49,0.43,0.61,0.58,0.49,0.34,0.56,0.48,0.83
l2j.csv,0.35,0.33,0.41,0.43,0.43,0.39,0.48,0.46,0.42,0.4,0.42,0.53,0.5,0.45,0.43,0.45
libmesh.csv,0.69,0.88,0.96,0.55,0.0,0.72,0.89,0.86,0.96,0.91,0.0,0.88,0.86,0.59,0.97,0.68
mvdsv.csv,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
stajistics.csv,0.48,0.67,0.9,0.6,0.83,0.57,0.86,0.69,0.51,0.59,0.83,0.96,0.5,0.77,0.63,0.63
twostep.csv,0.51,0.45,0.92,0.62,0.38,0.71,0.75,0.6,0.58,0.5,0.34,0.68,0.5,0.78,0.5,0.72
x4x.csv,0.49,0.4,0.43,0.37,0.38,0.4,0.54,0.78,0.49,0.48,0.51,0.5,0.38,0.44,0.51,0.56
