,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.53,0.57,0.88,0.64,0.67
encog-java.csv,0.97,0.94,0.59,0.75,0.89
h2database.csv,0.98,0.98,0.88,0.97,0.92
jaql.csv,0.61,0.59,0.72,0.57,0.59
raven-monitoring.csv,0.73,0.65,0.68,0.67,0.7
