,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.44,0.64,0.54,0.06,0.99,0.62
kmess.csv,0.47,0.44,0.41,0.2,0.43,0.98
minig.csv,0.38,0.46,0.99,0.21,0.3,0.69
ossbuild.csv,0.06,0.2,0.34,0.95,0.04,0.26
rezilla.csv,1.0,0.61,0.52,0.14,0.58,0.68
webdriver.csv,0.17,0.95,0.38,0.29,0.43,0.62
