,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv
benojt.csv,0.38,0.0,0.0,0.98,0.13,0.17,0.09
chrysalis.csv,0.64,0.59,0.62,0.73,0.63,0.67,0.86
jahshaka.csv,0.56,0.74,0.46,0.29,0.58,0.51,0.73
jam-daq.csv,0.51,0.41,0.63,0.54,0.78,0.76,0.13
jatlas.csv,0.48,0.41,0.63,0.82,0.96,0.68,0.3
jedit.csv,0.76,0.17,0.61,0.0,0.21,0.0,0.59
open-media-library.csv,0.52,0.59,0.74,0.61,0.88,0.66,0.05
