,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.53,0.33,0.6,0.44,0.41,0.23,0.17,0.21,0.41,0.11,0.25,0.96,0.11
cuberok.csv,0.16,0.61,0.8,1.0,0.95,0.26,0.75,0.29,0.61,0.29,0.44,0.38,0.32
exist.csv,0.0,0.24,0.4,0.23,0.0,0.23,0.2,0.11,0.96,0.11,0.19,0.0,0.0
google-web-toolkit.csv,0.47,0.76,0.4,0.67,0.32,0.5,0.3,0.64,0.47,0.14,0.98,0.21,0.53
gwanted.csv,0.63,0.07,0.4,0.67,0.09,0.08,0.09,0.96,0.18,0.07,0.75,0.0,0.21
ivatamasks.csv,0.84,1.0,0.8,0.92,0.64,0.5,0.64,0.64,0.55,0.54,0.56,0.08,0.37
ivataopenportal.csv,0.79,0.39,0.4,0.36,0.73,0.99,0.41,0.54,0.59,0.5,0.49,0.5,0.21
jaxen.csv,0.0,0.0,1.0,0.0,0.09,0.01,0.05,0.21,0.12,0.0,0.06,0.04,0.05
rockbox.csv,0.16,0.05,0.2,0.0,0.55,0.15,0.37,0.14,0.68,0.61,0.37,0.38,1.0
rodin-b-sharp.csv,0.42,0.49,0.2,0.85,0.27,0.08,0.97,0.04,0.18,0.04,0.13,0.0,0.11
tcl.csv,0.05,0.12,0.0,0.92,0.09,0.18,0.19,0.18,0.01,0.0,0.09,0.0,0.0
umber.csv,1.0,0.41,0.4,0.9,0.59,0.26,0.34,0.21,0.32,0.71,0.23,0.67,0.32
wheat.csv,0.53,0.24,0.4,0.0,0.09,0.4,0.24,0.29,0.41,1.0,0.35,0.38,0.37
