,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.48,0.48,0.25,0.46,0.44,0.34,0.22,0.19,0.51,0.19,0.36,0.96,0.18
cuberok.csv,0.16,0.63,0.16,0.67,0.95,0.37,0.58,0.21,0.62,0.35,0.5,0.18,0.32
exist.csv,0.0,0.39,0.22,0.32,0.0,0.35,0.27,0.15,0.98,0.19,0.29,0.0,0.0
google-web-toolkit.csv,0.27,0.74,0.1,0.62,0.33,0.53,0.31,0.39,0.56,0.22,0.99,0.18,0.56
gwanted.csv,0.32,0.13,0.05,0.59,0.16,0.14,0.14,0.98,0.29,0.12,0.68,0.0,0.24
ivatamasks.csv,0.51,1.0,0.16,0.64,0.53,0.52,0.5,0.35,0.62,0.55,0.58,0.08,0.36
ivataopenportal.csv,0.48,0.47,0.12,0.4,0.53,0.98,0.34,0.23,0.6,0.51,0.52,0.25,0.28
jaxen.csv,0.0,0.0,1.0,0.0,0.14,0.02,0.09,0.26,0.2,0.0,0.1,0.08,0.1
rockbox.csv,0.15,0.1,0.12,0.0,0.53,0.25,0.36,0.12,0.68,0.59,0.45,0.21,0.97
rodin-b-sharp.csv,0.59,0.57,0.22,0.59,0.33,0.14,0.99,0.04,0.29,0.06,0.2,0.0,0.17
tcl.csv,0.07,0.18,0.0,0.95,0.15,0.24,0.27,0.16,0.02,0.0,0.15,0.0,0.0
umber.csv,1.0,0.55,0.33,0.64,0.44,0.35,0.31,0.22,0.43,0.66,0.34,0.31,0.44
wheat.csv,0.49,0.38,0.14,0.0,0.12,0.47,0.25,0.23,0.44,1.0,0.44,0.16,0.3
