,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.53,0.67,0.45,0.72,0.66,0.78,0.86,0.82,0.64,0.89,0.78,0.04,0.9
cuberok.csv,0.89,0.8,0.55,0.97,0.05,0.75,0.53,0.77,0.62,0.83,0.72,0.77,0.78
exist.csv,1.02,0.76,0.61,0.8,1.0,0.77,0.82,0.9,0.04,0.89,0.83,1.0,1.0
google-web-toolkit.csv,0.87,0.62,0.73,0.58,0.78,0.65,0.78,0.49,0.59,0.88,0.02,0.81,0.52
gwanted.csv,0.9,0.93,1.03,0.66,0.91,0.92,0.92,0.04,0.82,0.94,0.71,1.0,0.85
ivatamasks.csv,0.53,0.0,0.53,0.95,0.61,0.67,0.63,0.56,0.54,0.68,0.69,0.94,0.75
ivataopenportal.csv,0.55,0.81,0.67,0.77,0.69,0.03,0.81,0.8,0.64,0.74,0.76,0.65,0.81
jaxen.csv,1.0,1.0,0.0,1.0,0.92,0.99,0.95,0.79,0.89,1.0,0.94,0.96,0.95
rockbox.csv,0.9,0.95,0.81,1.0,0.55,0.85,0.74,0.89,0.53,0.67,0.73,0.73,0.03
rodin-b-sharp.csv,0.58,0.69,0.8,1.01,0.76,0.92,0.03,0.97,0.82,0.97,0.89,1.0,0.9
tcl.csv,0.96,0.99,1.01,0.08,0.91,0.88,0.82,0.85,1.0,1.0,0.92,1.0,1.02
umber.csv,0.0,0.61,0.6,0.88,0.8,0.77,0.81,0.8,0.72,0.61,0.79,0.54,0.69
wheat.csv,0.52,0.77,0.65,1.0,0.95,0.68,0.86,0.75,0.84,0.0,0.73,0.82,0.89
