,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.86,0.2,0.7,0.62,0.83,0.64,0.39,0.66,0.7,0.67,0.81,0.93,0.66,1.0,0.7,0.42,0.6,0.46,0.87,0.33
decidr.csv,0.6,0.8,0.8,0.8,0.74,0.88,0.85,1.0,0.81,1.0,0.72,0.96,1.0,0.93,0.91,0.88,0.85,0.92,0.6,0.95
elmo.csv,0.37,0.6,0.14,0.47,0.48,0.52,0.35,0.15,0.32,0.25,0.38,0.2,0.21,0.43,0.1,0.45,0.27,0.62,0.2,0.37
gpac.csv,0.61,1.0,0.68,0.7,0.83,0.6,0.96,0.88,0.36,0.69,0.89,0.66,0.97,0.79,0.73,0.61,0.92,0.85,0.38,0.68
img-browse-sort.csv,0.77,0.4,0.55,0.7,0.83,0.6,0.61,0.49,0.63,0.67,0.81,0.52,0.34,0.71,0.69,0.48,0.83,0.85,0.6,0.26
jajuk.csv,0.91,0.6,0.79,0.78,0.91,0.8,0.61,0.85,0.73,0.78,0.96,0.86,0.82,1.0,0.69,0.73,0.62,0.77,0.98,0.6
ktc.csv,0.75,0.4,0.67,0.68,0.61,0.48,0.13,0.58,0.56,0.36,0.45,0.59,0.48,0.43,0.19,0.48,0.52,0.92,0.51,0.35
nativeclient.csv,0.85,0.6,0.68,0.78,0.74,0.68,0.61,0.6,0.67,0.47,0.79,0.52,0.39,0.71,0.66,0.85,0.98,1.0,0.76,0.65
neoengine.csv,0.56,1.0,0.69,0.77,0.7,0.84,0.5,0.93,0.41,0.75,0.75,1.0,0.92,0.79,0.27,0.76,0.6,0.92,0.58,0.89
nicepress.csv,0.59,1.0,0.93,0.75,0.74,0.44,0.43,0.93,0.73,0.81,0.75,0.89,0.96,0.43,0.55,0.42,0.79,0.69,0.64,0.7
omseek.csv,0.38,0.0,0.15,0.43,0.35,0.36,0.02,0.36,0.3,0.11,0.15,0.04,0.14,0.36,0.15,0.7,0.6,0.54,0.4,0.18
rosegarden.csv,0.83,0.6,0.93,0.88,0.7,0.72,0.33,0.55,0.72,0.61,0.68,0.59,0.38,0.21,0.37,0.76,0.9,0.92,0.82,0.73
sigil.csv,0.86,0.4,0.62,0.73,0.87,0.72,0.65,0.38,0.75,0.67,0.7,0.52,0.31,1.0,0.79,0.79,0.83,0.69,0.78,0.31
smarttag.csv,0.89,0.4,0.82,0.58,0.83,0.68,0.63,0.21,0.65,0.61,0.52,0.46,0.23,0.57,0.75,0.7,0.54,0.46,0.73,0.22
sylpheed-claws.csv,0.97,1.0,0.87,1.0,1.0,1.0,0.91,0.71,0.89,1.0,0.91,0.71,0.69,0.93,1.0,1.0,1.0,0.92,0.87,1.0
tango-cs.csv,0.75,0.2,0.7,0.69,0.7,0.84,0.89,0.65,0.78,0.94,0.79,0.8,0.7,0.86,0.87,0.79,0.62,0.54,0.62,0.65
vapor.csv,0.0,0.2,0.41,0.05,0.87,0.56,0.2,0.68,0.24,0.53,0.58,0.11,0.25,1.0,0.64,0.61,0.79,0.46,0.27,0.14
xemeiah.csv,0.65,0.2,0.83,0.83,0.74,0.52,0.35,0.64,0.62,0.86,0.92,0.84,0.88,0.86,0.79,0.39,0.63,0.92,0.87,0.19
zorannt.csv,0.43,0.8,0.21,0.53,0.74,0.4,0.59,0.44,0.24,0.22,0.37,0.77,0.48,0.43,0.3,0.55,0.5,0.46,0.53,0.28
zscreen.csv,0.81,0.2,0.54,0.9,0.61,0.72,0.76,0.08,0.56,0.78,0.72,0.12,0.14,0.57,0.75,0.76,0.73,0.77,0.62,0.2
