,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.05,0.04,0.13,0.7,0.0,0.04,0.25,0.24,0.18,0.44,0.2,0.74,0.71,0.22
boost-sandbox.csv,0.68,0.72,0.49,0.28,0.86,0.68,0.33,0.71,0.32,0.72,0.36,0.43,0.0,0.21
customwars.csv,0.44,0.34,0.31,0.57,0.18,0.27,0.0,0.47,0.5,0.33,0.28,0.11,0.86,0.32
dvd-create.csv,0.61,0.81,0.58,0.56,0.78,0.77,0.0,0.82,0.79,0.92,0.72,0.81,0.86,0.67
frogatto.csv,0.98,0.72,0.49,0.85,0.65,0.61,0.92,0.82,0.89,0.64,0.96,0.63,1.0,0.88
glelite.csv,0.98,0.99,0.42,1.0,0.92,0.45,0.92,0.65,0.86,0.86,0.96,0.8,1.0,0.96
go.csv,0.75,0.77,0.33,0.7,0.36,0.93,0.08,0.88,0.39,0.69,0.68,0.46,0.57,0.53
irplus.csv,0.47,0.43,0.58,0.69,0.46,0.25,0.42,0.76,0.64,0.47,0.64,0.43,0.71,0.23
lsb.csv,0.66,0.59,0.76,0.78,0.86,0.28,0.0,0.82,0.54,0.75,0.84,0.52,1.0,0.53
moving-pictures.csv,0.53,0.18,0.07,0.17,0.04,0.45,0.0,0.65,0.61,0.61,0.52,0.28,0.71,0.35
mpgravity.csv,0.93,0.7,0.8,0.2,0.85,0.98,0.67,1.0,0.68,0.86,0.88,0.87,1.0,0.81
plearn.csv,0.59,0.24,0.02,0.13,0.2,0.64,0.75,0.41,0.32,0.28,0.52,0.7,0.71,0.65
rebecca-aiml.csv,0.44,0.75,0.76,0.83,0.64,0.32,0.0,0.88,0.89,0.86,0.84,0.87,0.71,0.5
wxcode.csv,0.44,0.38,0.11,0.52,0.14,0.18,0.83,0.29,0.25,0.14,0.4,0.2,1.0,0.34
