,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.09,0.07,0.22,0.7,0.0,0.07,0.33,0.27,0.29,0.49,0.27,0.54,0.53,0.36
boost-sandbox.csv,0.47,0.69,0.31,0.35,0.84,0.73,0.2,0.26,0.33,0.6,0.41,0.45,0.0,0.35
customwars.csv,0.44,0.49,0.47,0.59,0.3,0.38,0.0,0.3,0.55,0.5,0.36,0.18,0.4,0.48
dvd-create.csv,0.47,0.75,0.27,0.56,0.86,0.74,0.0,0.25,0.65,0.67,0.57,0.56,0.21,0.8
frogatto.csv,0.45,0.71,0.59,0.68,0.73,0.65,0.38,0.28,0.63,0.69,0.55,0.37,0.28,0.93
glelite.csv,0.45,0.78,0.25,0.71,0.86,0.54,0.34,0.29,0.59,0.67,0.55,0.39,0.19,0.98
go.csv,0.45,0.82,0.19,0.59,0.51,0.84,0.15,0.26,0.45,0.69,0.57,0.28,0.16,0.69
irplus.csv,0.45,0.55,0.66,0.63,0.6,0.36,0.36,0.32,0.56,0.58,0.58,0.53,0.36,0.38
lsb.csv,0.39,0.59,0.7,0.67,0.84,0.4,0.0,0.25,0.56,0.68,0.5,0.4,0.22,0.69
moving-pictures.csv,0.45,0.3,0.12,0.25,0.08,0.55,0.0,0.25,0.63,0.61,0.43,0.42,0.36,0.52
mpgravity.csv,0.47,0.73,0.35,0.31,0.83,0.85,0.53,0.26,0.57,0.7,0.51,0.41,0.26,0.88
plearn.csv,0.52,0.38,0.02,0.2,0.32,0.68,0.38,0.17,0.33,0.4,0.44,0.35,0.21,0.78
rebecca-aiml.csv,0.41,0.73,0.49,0.68,0.75,0.43,0.0,0.25,0.62,0.74,0.54,0.78,0.2,0.67
wxcode.csv,0.42,0.53,0.2,0.52,0.24,0.3,0.56,0.29,0.32,0.24,0.49,0.2,0.5,0.51
