,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.27,0.39,0.07,0.32,0.35,0.1,0.23,0.49,0.6,0.17,0.36,0.59,0.09
bacula.csv,0.49,0.7,0.06,0.52,0.52,0.25,0.3,0.82,0.75,0.41,0.54,0.27,0.22
elmo.csv,0.44,0.6,0.13,0.52,0.67,0.38,0.24,0.52,0.71,0.31,0.58,0.26,0.17
jajuk.csv,0.5,0.52,0.08,0.43,0.79,0.21,0.31,0.66,0.73,0.38,0.6,0.3,0.16
ktc.csv,0.69,0.7,0.1,0.55,0.72,0.3,0.37,0.75,0.75,0.57,0.7,0.2,0.19
neoengine.csv,0.59,0.6,0.07,0.62,0.65,0.26,0.29,0.77,0.67,0.45,0.58,0.22,0.16
omseek.csv,0.71,0.56,0.0,0.79,0.81,0.67,0.33,0.0,0.8,0.87,0.92,0.0,0.29
pcgen.csv,0.48,0.53,0.08,0.4,0.6,0.15,0.29,0.83,0.67,0.33,0.67,0.27,0.14
rosegarden.csv,0.65,0.72,0.08,0.42,0.73,0.21,0.3,1.0,0.75,0.57,0.48,0.27,0.17
selenium.csv,0.59,0.73,0.07,0.51,0.75,0.23,0.41,0.75,0.75,0.43,0.56,0.27,0.22
vapor.csv,0.0,0.52,0.07,0.51,0.66,0.14,0.39,0.63,0.67,0.0,0.0,0.0,0.12
zorannt.csv,0.5,0.58,0.08,0.62,0.75,0.33,0.31,0.82,0.79,0.35,0.7,0.21,0.17
zscreen.csv,0.58,0.51,0.11,0.53,0.5,0.19,0.35,0.87,0.92,0.39,0.44,0.29,0.16
