,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv
alembik.csv,0.46,0.41,0.0,0.72,0.58,0.28,0.34,0.55,0.17
arsenal-1.csv,0.74,0.21,0.67,0.08,0.17,0.1,0.13,0.2,0.43
barracudamvc.csv,0.84,0.58,0.61,0.55,0.43,0.89,0.54,0.42,0.26
irplus.csv,0.83,0.49,0.32,0.54,0.55,0.5,0.59,0.6,0.37
lite.csv,0.59,0.33,0.61,0.41,0.28,0.61,0.47,0.59,0.41
mevenide.csv,0.73,0.4,0.36,0.15,0.35,0.28,0.07,0.24,0.63
mumble.csv,0.76,0.58,0.47,0.14,0.72,0.82,0.38,0.32,0.18
ontopia.csv,0.2,0.54,0.38,0.44,0.51,0.82,0.33,0.39,0.12
openintents.csv,0.44,0.65,0.64,0.6,0.21,0.61,0.47,0.44,0.25
