,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.0,0.26,0.06,0.48,0.1,0.41,0.34,0.2,0.55,0.14,0.21,0.78,0.32,0.35,0.12,0.16
aztec.csv,0.45,0.13,0.04,0.34,0.42,0.09,0.16,0.11,0.21,0.2,0.12,0.59,0.16,0.26,0.17,0.33
bl-toolkit.csv,1.0,0.57,0.42,0.36,0.72,0.18,0.78,0.76,0.53,0.9,1.0,0.57,0.74,0.78,0.57,1.0
co-ode-owl-plugins.csv,0.0,0.3,0.04,0.8,0.09,0.59,0.34,0.43,0.74,0.07,0.45,0.7,0.47,0.39,0.42,0.16
gbif-indexingtoolkit.csv,1.0,0.43,0.65,0.36,0.82,0.73,0.84,0.93,0.97,0.83,0.97,0.89,0.47,0.55,0.26,0.98
gnukeda.csv,0.09,0.7,0.81,0.9,0.71,0.32,0.25,0.91,0.29,0.71,0.3,0.63,0.74,0.58,0.93,0.03
motu.csv,0.0,0.65,0.4,0.86,0.89,0.41,0.44,0.76,0.71,0.76,0.94,0.26,0.53,0.9,0.63,0.39
oscarmcmaster.csv,0.18,0.26,0.0,0.44,0.17,0.68,0.25,0.48,0.53,0.01,0.45,0.7,0.26,0.27,0.2,0.27
pamguard.csv,1.0,0.61,0.48,0.28,0.62,0.68,0.44,0.55,0.37,0.68,0.39,0.7,0.37,0.57,0.39,0.99
prelude.csv,0.09,0.74,0.79,0.88,0.95,0.95,0.75,0.65,0.95,0.96,0.94,0.91,0.79,0.87,0.91,0.96
qdvdauthor.csv,1.0,0.61,0.13,0.52,0.15,0.82,0.75,0.7,0.63,0.51,0.27,0.67,0.42,0.49,0.41,0.72
qlc.csv,0.0,0.13,0.23,0.46,0.32,0.36,0.22,0.42,0.5,0.29,0.36,0.02,0.37,0.25,0.26,0.0
scite-ru.csv,0.0,0.57,0.29,0.84,0.7,1.0,0.78,0.66,0.79,0.47,0.91,0.65,0.47,0.7,0.57,0.44
tencompetence.csv,0.18,0.04,0.0,0.12,0.12,0.27,0.25,0.53,0.37,0.25,0.27,0.09,0.21,0.27,0.28,0.61
trackit.csv,0.09,0.52,0.23,0.48,0.13,0.23,0.25,0.07,0.29,0.19,0.0,0.59,0.37,0.29,0.36,0.08
yaprm.csv,0.0,0.39,0.6,0.5,0.67,0.36,0.28,0.39,0.29,0.74,0.7,0.02,0.37,0.55,0.4,0.08
