,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.35,0.53,0.32,0.5,0.54,0.23,1.0,0.33,0.62,0.29,0.25,0.25,0.72,0.2,0.47,0.19,0.22,0.28,0.4
bzbyte.csv,0.76,0.62,0.88,0.63,0.7,0.85,0.63,0.51,0.75,0.81,1.0,0.96,0.88,0.93,0.62,0.65,0.59,0.53,0.79
chrysalis.csv,0.09,0.06,0.0,0.09,0.14,0.08,0.07,0.18,0.04,0.05,0.06,0.04,0.16,0.02,0.0,0.15,0.89,0.24,0.2
dspace-gsoc.csv,0.53,0.47,0.59,0.5,0.59,0.38,0.44,0.27,0.6,0.53,1.0,0.39,0.44,0.5,0.44,0.35,0.26,0.45,0.7
fbmanager.csv,0.6,0.53,0.97,0.63,0.74,0.74,0.52,0.67,0.88,0.38,0.53,0.61,0.71,0.57,0.79,0.44,0.78,0.59,0.77
fityk.csv,0.37,0.31,0.62,0.28,0.41,0.07,0.19,0.29,0.27,0.48,0.44,0.33,0.29,1.0,0.41,0.19,0.26,0.03,0.24
fleet-simulator.csv,0.91,0.94,0.74,0.8,0.97,0.82,1.0,0.86,0.94,0.81,1.0,0.81,0.96,0.8,0.91,1.0,0.93,0.88,0.83
freenet.csv,0.68,0.75,0.76,0.54,1.0,0.49,0.56,0.55,0.65,0.55,0.83,0.56,0.77,0.57,0.59,0.39,0.41,0.6,0.66
google-caja.csv,0.65,0.72,0.74,0.76,0.78,0.8,0.7,0.96,0.83,0.5,0.56,0.77,0.82,0.64,0.79,0.69,0.85,0.86,0.78
k3b.csv,0.53,0.62,0.62,0.41,0.34,0.31,0.52,0.46,0.6,0.98,0.47,0.56,0.76,0.64,0.56,0.0,0.78,0.41,0.31
mediaportal.csv,0.03,0.41,0.0,0.85,0.58,0.72,0.33,0.76,0.19,0.07,0.03,0.68,0.93,0.05,0.24,1.0,0.41,0.43,0.75
myfaces.csv,0.31,0.31,0.35,0.7,0.72,0.58,0.37,0.37,0.9,0.19,0.14,0.47,0.49,0.39,0.32,0.52,0.15,0.21,0.24
onotoa.csv,0.62,0.66,0.5,0.61,0.61,1.0,0.63,0.62,0.73,0.67,0.67,0.47,0.34,0.86,0.56,0.5,0.89,0.4,0.68
paintown.csv,0.94,0.31,0.53,0.35,0.66,0.61,0.41,0.63,0.69,0.57,0.58,0.56,0.61,0.59,0.56,0.65,0.67,0.45,0.6
poormans.csv,0.37,0.31,0.32,0.54,0.58,0.22,0.33,0.38,0.56,0.24,0.17,0.42,0.58,0.23,0.97,0.3,0.26,0.38,0.43
sqlpower-library.csv,0.94,0.88,0.91,1.0,0.93,0.62,0.7,0.82,0.83,0.69,0.83,0.79,0.96,0.86,0.91,0.91,0.48,0.88,0.86
triplea.csv,0.38,1.0,0.5,0.72,0.72,0.49,0.7,0.63,0.73,0.5,0.72,0.42,0.62,0.43,0.71,0.46,0.7,0.48,0.58
xamj.csv,0.69,0.47,0.76,0.67,0.69,0.57,0.52,0.54,0.52,0.5,0.5,0.61,0.64,0.75,0.62,0.56,0.3,0.6,0.95
