,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.67,0.1,0.65,0.34,0.31,0.55,0.59,0.37,0.13,0.43,0.57
gamestone.csv,0.26,0.64,0.25,0.35,0.28,0.0,0.18,0.27,0.03,0.21,0.08
gbif-providertoolkit.csv,0.56,0.07,0.36,0.44,0.52,0.8,0.47,0.37,0.12,0.53,0.52
heekscad.csv,0.8,0.44,0.66,0.44,0.33,0.6,0.54,0.32,0.12,0.47,0.63
igarden.csv,0.67,0.2,0.52,0.55,0.44,0.47,0.4,0.25,0.12,0.27,0.54
levent.csv,0.42,0.0,0.0,0.0,0.31,0.74,0.37,0.0,0.0,0.0,0.63
lportal.csv,0.38,0.0,0.4,0.0,0.13,0.21,0.05,0.32,0.25,0.03,0.39
natpad.csv,0.77,0.23,0.63,0.46,0.3,0.51,0.46,0.34,0.1,0.41,0.65
openmsx.csv,0.73,0.25,0.37,0.47,0.22,0.47,0.18,0.27,0.0,0.57,0.12
owlapi.csv,0.58,0.0,0.42,0.27,0.31,0.73,0.51,0.51,0.09,0.5,0.49
xcsoar.csv,0.74,0.29,0.68,0.42,0.4,0.47,0.48,0.37,0.13,0.43,0.58
