,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.71,0.12,0.84,0.42,0.79,0.43,0.63,0.64,0.76,0.51,0.6
gamestone.csv,0.16,0.88,0.16,0.39,0.43,0.0,0.11,0.48,0.15,0.15,0.05
gbif-providertoolkit.csv,0.6,0.25,0.36,0.61,0.79,0.98,0.79,0.68,0.81,0.71,0.74
heekscad.csv,0.78,0.75,0.68,0.58,0.79,0.49,0.79,0.6,0.76,0.55,0.77
igarden.csv,0.56,0.25,0.39,0.68,0.57,0.33,0.34,0.24,0.72,0.18,0.47
levent.csv,0.29,0.0,0.0,0.0,0.79,0.67,0.37,0.0,0.0,0.0,0.79
lportal.csv,0.26,0.0,0.3,0.0,0.07,0.12,0.03,0.52,0.74,0.02,0.26
natpad.csv,0.91,0.62,0.88,0.87,0.93,0.39,0.58,0.8,0.89,0.45,0.74
openmsx.csv,0.78,0.88,0.34,0.81,0.21,0.33,0.16,0.48,0.0,0.58,0.07
owlapi.csv,0.61,0.0,0.43,0.23,0.79,0.73,0.95,0.76,0.32,0.72,0.56
xcsoar.csv,0.66,0.25,0.68,0.58,0.71,0.35,0.47,0.56,0.76,0.46,0.7
