,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.5,0.72,1.02,0.46,0.85,0.54,0.73,0.95,0.46,0.66,0.06,0.51,0.79,0.65,0.55,0.83,0.49,0.68,0.63
auber.csv,0.58,0.68,1.16,0.42,0.62,0.64,0.73,0.99,0.69,0.76,0.82,0.71,0.01,0.59,0.66,0.8,0.97,0.75,0.53
cortex-vfx.csv,0.57,0.76,1.01,0.75,0.62,0.22,0.68,0.96,0.72,0.68,0.64,0.61,0.73,0.14,0.76,0.58,0.62,0.79,0.67
empserver.csv,0.6,0.79,1.09,0.64,0.4,0.37,0.03,0.82,0.57,0.74,0.76,0.52,0.58,0.54,1.2,0.67,0.75,0.71,0.62
flylegacy.csv,0.73,0.03,1.17,0.72,0.57,0.66,0.97,0.74,0.54,0.59,0.6,0.49,0.57,0.61,0.52,0.8,0.86,0.76,0.86
galaxium.csv,0.57,0.72,0.1,0.88,0.94,0.52,0.87,1.0,0.72,0.61,0.43,0.0,0.91,0.71,0.69,0.97,0.84,0.88,0.74
growl-for-windows.csv,0.72,0.75,0.53,0.73,0.69,0.27,0.69,0.68,0.6,0.6,0.66,0.64,0.63,0.52,0.24,0.67,0.0,0.76,0.58
k3d.csv,0.84,0.76,1.0,0.69,0.0,0.69,0.83,0.88,1.0,0.96,0.94,0.97,0.86,0.88,0.98,0.78,0.97,0.86,0.66
libarchive.csv,0.48,0.67,0.43,0.57,0.62,0.42,0.8,0.7,0.8,0.53,0.5,0.51,0.53,0.56,0.34,0.64,0.72,0.74,0.06
linux-ntfs.csv,0.53,0.69,1.06,0.78,0.65,0.51,0.85,0.73,0.85,0.68,0.74,0.76,0.8,0.88,1.33,0.0,0.9,0.59,0.66
m-a-d-n-e-s-s.csv,0.59,0.74,1.0,0.81,0.87,0.11,0.92,0.87,0.85,0.0,0.49,0.92,0.78,0.84,0.86,0.77,0.83,0.93,0.78
novembre.csv,0.63,0.95,1.01,0.13,0.81,0.69,0.83,0.93,0.89,0.66,0.93,0.81,0.76,0.67,0.86,0.76,0.88,0.79,0.7
qtwin.csv,0.94,0.98,1.0,1.0,1.0,0.33,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
st-filteredstatistics.csv,0.53,0.81,1.12,0.9,0.8,0.68,0.97,0.66,0.0,0.69,0.68,0.68,0.76,0.61,0.26,0.78,0.69,0.87,0.53
tweetsharp.csv,0.8,0.76,0.52,0.54,0.69,0.79,0.9,0.85,0.81,0.72,0.66,0.43,0.68,0.69,1.06,0.54,0.56,0.08,0.66
unladen-swallow.csv,0.45,0.75,1.21,0.71,0.91,0.61,0.93,0.7,0.92,0.85,0.89,0.92,0.91,0.94,1.0,0.71,1.03,0.72,0.92
wishmaster.csv,0.94,0.81,1.0,1.0,1.01,0.85,1.0,0.07,0.95,0.96,0.98,0.92,0.99,0.99,0.95,1.0,0.64,0.74,1.0
