,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.56,0.33,0.0,0.6,0.17,0.5,0.39,0.14,0.54,0.4,0.94,0.54,0.25,0.44,0.45,0.19,0.53,0.4,0.39
auber.csv,0.53,0.49,0.0,0.8,0.57,0.5,0.28,0.14,0.69,0.48,0.29,0.49,0.99,0.48,0.34,0.65,0.14,0.48,0.51
cortex-vfx.csv,0.47,0.27,0.0,0.27,0.4,0.83,0.33,0.07,0.28,0.36,0.37,0.4,0.28,0.86,0.24,0.46,0.44,0.21,0.35
empserver.csv,0.54,0.68,0.0,0.67,0.73,1.0,0.97,0.79,0.67,0.76,0.35,0.71,0.64,0.68,0.34,0.62,0.36,0.52,0.55
flylegacy.csv,0.76,0.97,0.0,0.53,0.5,0.67,0.03,0.57,0.51,0.48,0.76,0.74,0.66,0.64,0.48,0.73,0.31,0.4,0.14
galaxium.csv,0.46,0.3,1.0,0.13,0.07,0.5,0.14,0.0,0.28,0.4,0.58,1.0,0.09,0.31,0.31,0.04,0.17,0.12,0.27
growl-for-windows.csv,0.76,0.83,1.0,0.67,0.77,1.0,0.81,0.64,0.54,0.72,0.83,0.83,0.45,0.61,0.76,0.58,1.0,0.4,0.67
k3d.csv,0.17,0.24,0.0,0.4,1.0,0.33,0.31,0.14,0.0,0.04,0.06,0.03,0.15,0.12,0.02,0.23,0.03,0.14,0.43
libarchive.csv,0.74,0.41,1.0,0.6,0.77,1.0,0.25,0.5,0.77,0.52,0.7,0.71,0.55,0.6,0.66,0.46,0.33,0.38,0.94
linux-ntfs.csv,0.56,0.44,0.0,0.33,0.53,0.5,0.25,0.57,0.28,0.56,0.5,0.43,0.33,0.12,0.12,1.0,0.25,0.48,0.39
m-a-d-n-e-s-s.csv,0.44,0.29,0.0,0.2,0.13,1.0,0.08,0.14,0.15,1.0,0.52,0.09,0.22,0.17,0.14,0.23,0.17,0.07,0.22
novembre.csv,0.39,0.05,0.0,0.87,0.2,0.33,0.19,0.07,0.13,0.4,0.08,0.23,0.25,0.38,0.14,0.27,0.14,0.21,0.33
qtwin.csv,0.06,0.02,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.86,0.76,0.0,1.0,0.7,1.0,0.97,0.93,1.0,0.64,0.93,0.86,0.73,0.9,0.74,0.81,0.81,0.93,0.82
tweetsharp.csv,0.77,0.27,1.0,0.67,0.37,0.83,0.11,0.71,0.74,0.76,0.86,0.66,0.6,0.66,0.64,0.54,0.56,0.95,0.35
unladen-swallow.csv,0.55,0.49,0.0,0.4,0.4,0.5,0.42,0.43,0.21,0.36,0.47,0.29,0.27,0.06,0.0,0.31,0.47,0.36,0.35
wishmaster.csv,0.07,0.19,0.0,0.0,0.0,0.17,0.0,0.93,0.08,0.04,0.02,0.09,0.01,0.01,0.05,0.0,0.36,0.29,0.0
