,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,1.0,0.88,0.48,0.39,0.82,0.77,0.07
java-gnome.csv,0.97,0.89,0.17,0.14,0.92,0.75,0.0
mb-unit.csv,0.99,0.9,0.5,0.21,0.92,0.74,0.06
mecat.csv,1.0,0.98,0.39,0.4,1.0,0.84,0.27
rodin-b-sharp.csv,0.95,0.88,0.78,0.11,0.88,0.87,0.02
unicase.csv,1.0,0.85,0.42,0.24,0.82,0.84,0.05
wpdev.csv,1.0,0.86,0.36,0.15,0.77,0.73,0.05
