,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.0,0.0,1.0,0.71,0.0,1.0,0.0,0.25,0.08,0.67,0.33,1.0,1.0,0.0,0.43,0.0,0.75
codeblocks.csv,0.59,0.12,0.99,0.42,0.62,0.21,0.32,0.35,0.16,0.39,0.23,0.75,0.9,0.88,0.45,0.14,0.31
ctrlr.csv,0.5,0.25,0.71,0.36,0.64,0.25,1.0,0.0,0.16,0.54,0.25,0.71,0.6,0.89,0.82,0.14,0.3
free-evolution.csv,0.47,0.09,0.73,0.4,0.41,0.2,0.26,0.34,0.21,0.23,1.0,0.57,0.78,0.83,0.69,0.11,0.44
fulguro.csv,0.8,0.26,0.56,0.25,0.71,0.17,0.25,0.5,0.19,0.54,0.33,1.0,0.0,1.0,0.64,1.0,0.2
gisgraphy.csv,0.56,0.07,0.81,0.42,0.64,0.23,0.3,0.2,0.15,0.36,0.27,0.5,0.64,0.83,0.4,0.07,1.0
ipfire-wall.csv,0.75,0.19,0.79,0.5,0.75,0.27,0.14,1.0,0.2,0.14,0.46,0.5,0.59,0.85,0.49,0.5,0.33
jruby.csv,0.5,0.08,0.89,0.38,0.61,0.21,0.24,0.57,0.1,0.23,0.24,0.75,0.94,0.99,0.58,0.19,0.11
l2j.csv,0.52,0.08,0.83,0.35,0.6,0.25,0.22,0.38,0.15,0.26,0.28,0.76,0.99,0.86,0.54,0.12,0.35
ldview.csv,0.61,0.08,0.73,0.95,0.69,0.27,0.14,0.5,0.14,0.37,0.17,0.71,0.79,0.84,0.54,0.21,0.3
libmesh.csv,0.4,0.13,0.79,0.38,0.64,0.25,0.44,0.24,0.1,0.88,0.17,0.43,0.42,0.93,0.67,0.11,0.33
red5.csv,0.45,0.12,0.73,0.28,0.96,0.15,0.3,0.22,0.27,0.47,0.26,0.6,0.74,0.89,0.51,0.11,0.35
t-2.csv,0.51,0.08,0.64,0.33,0.48,0.19,0.28,0.26,1.0,0.4,0.23,0.47,0.67,0.85,0.64,0.13,0.37
tencompetence.csv,0.52,0.0,1.0,0.0,0.48,0.3,0.19,0.5,0.07,0.35,0.0,0.33,0.68,0.86,0.99,0.12,0.15
vdsf.csv,0.51,0.95,0.74,0.36,0.59,0.2,0.26,0.27,0.12,0.35,0.24,0.5,0.72,0.87,0.64,0.13,0.31
xbrlapi.csv,1.0,0.09,0.74,0.48,0.58,0.18,0.24,0.32,0.1,0.38,0.22,0.57,0.65,0.87,0.69,0.19,0.27
xcf.csv,0.57,0.08,0.75,0.44,0.63,0.22,0.25,0.33,0.16,0.23,0.23,1.0,0.76,0.86,0.67,0.13,0.33
