,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.84,0.56,0.85,1.0,0.14,0.7,0.56,0.04,0.05,0.15,0.53,0.14,0.39
grafx2.csv,0.9,0.74,0.7,0.88,0.34,0.66,0.66,0.81,0.77,0.76,0.5,0.79,0.69
jahshakafx.csv,0.82,0.66,0.91,0.67,0.3,0.79,0.47,0.15,0.47,0.68,0.63,0.71,0.44
kftpgrabber.csv,0.72,0.34,0.0,0.08,0.4,0.44,0.09,0.04,0.23,0.09,0.83,0.14,0.22
kindb.csv,0.88,0.51,0.94,0.79,0.5,0.76,0.78,0.04,0.19,0.82,0.8,0.07,0.64
maya-work-in-progress.csv,0.95,0.82,0.79,0.71,0.92,0.88,0.88,0.81,0.77,0.56,0.8,0.71,0.72
netatalk.csv,0.58,0.88,0.7,0.92,0.24,0.65,0.69,0.11,0.63,0.59,0.53,0.64,0.42
nullc.csv,0.72,1.0,1.0,1.0,0.66,0.7,0.34,0.41,0.72,0.74,0.97,0.57,0.53
plee-the-bear.csv,0.81,0.39,0.76,0.04,0.38,0.57,0.53,0.41,0.65,0.65,0.4,0.57,0.47
reaper-ecad.csv,0.45,0.11,0.06,0.62,0.22,0.3,0.03,0.0,0.02,0.06,0.3,0.14,0.17
unimrcp.csv,0.87,0.76,0.76,0.96,0.48,0.74,0.72,0.89,0.47,0.74,0.77,0.43,0.53
unladen-swallow.csv,0.17,0.42,0.42,0.04,0.14,0.44,0.41,0.67,0.42,0.38,0.47,0.71,0.08
xmoto.csv,0.75,0.74,0.7,0.08,0.54,0.74,0.53,0.56,0.63,0.97,0.63,1.0,0.72
