,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.42,0.61,0.81,0.98,0.0,0.5,0.8,0.3,0.41,0.57,0.37,0.52,0.38,0.21,0.68,0.47,0.55,0.34,0.5,0.27
blogentis.csv,0.61,0.64,0.71,0.2,1.0,0.46,0.3,0.4,0.32,0.56,0.71,0.28,0.77,0.58,0.78,0.43,0.41,0.04,0.22,0.88
free-evolution.csv,0.25,1.0,0.87,0.41,0.09,0.41,0.59,0.5,0.6,0.54,0.4,0.36,0.92,0.41,0.38,0.4,0.7,0.06,0.46,0.32
gtad.csv,0.18,0.64,0.48,0.21,0.0,0.18,0.45,0.0,0.23,0.34,0.14,0.16,0.15,0.12,0.22,0.15,0.27,0.05,0.08,0.13
htmlunit.csv,0.31,0.73,0.39,0.41,0.0,0.11,0.42,0.0,0.28,0.43,0.24,0.21,0.33,0.39,0.22,0.28,0.27,0.02,0.23,0.16
ipfire-wall.csv,0.03,0.43,0.54,0.0,0.0,0.16,0.71,0.0,0.38,0.07,0.47,0.11,0.15,0.21,0.19,0.27,0.16,0.29,0.01,0.08
irplus.csv,0.49,0.49,0.42,0.57,0.0,0.22,0.29,0.4,0.17,0.13,0.34,0.23,0.17,0.23,0.35,0.35,0.3,0.25,0.12,0.27
jasperreports.csv,0.58,0.89,0.91,0.48,1.0,0.09,0.13,0.7,0.33,0.28,0.92,0.43,0.58,0.79,0.84,0.13,0.52,0.25,0.83,0.88
jaxlib.csv,0.15,0.04,0.02,0.73,0.0,0.45,0.59,0.0,0.34,0.79,0.42,0.43,0.04,0.48,0.41,0.17,0.43,0.81,0.24,0.33
jvcl.csv,0.34,0.1,0.01,0.29,0.0,0.14,0.57,0.0,0.6,0.28,0.11,0.5,0.42,0.14,0.22,0.85,0.11,0.42,0.14,0.07
kaffeine.csv,0.96,0.1,0.59,0.99,0.09,0.46,0.52,0.4,0.54,0.43,0.53,0.49,0.98,0.4,0.95,0.48,0.43,0.37,0.43,0.62
m-m-m.csv,0.34,0.23,0.45,0.83,0.18,0.74,0.94,0.2,0.78,0.97,0.77,0.94,0.77,0.72,0.49,0.8,0.41,0.92,0.58,0.36
myfaces.csv,0.62,0.61,0.94,0.5,0.0,0.38,0.84,0.2,0.61,0.23,0.25,0.2,0.65,0.14,0.24,0.6,0.66,0.31,0.09,0.21
nh3d.csv,1.0,0.5,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,1.0,0.71,1.0,1.0,0.76,1.0,1.0,1.0,1.0
poormans.csv,0.0,0.06,0.24,0.17,0.09,0.04,0.09,0.3,0.41,0.03,0.1,0.28,0.94,0.06,0.0,0.18,0.05,0.02,0.18,0.0
sarasvati.csv,0.37,0.19,0.47,0.72,0.0,0.28,0.42,0.2,0.32,0.3,0.37,0.32,0.4,0.3,0.35,0.27,0.41,0.27,0.07,0.2
smartgwt.csv,0.73,0.83,0.48,0.38,0.18,0.48,0.49,0.5,0.4,0.33,0.8,0.36,0.31,0.53,0.65,0.59,0.23,0.24,0.38,0.4
taokgame.csv,0.32,0.01,0.0,0.43,0.0,0.2,0.17,0.0,0.12,0.3,0.08,0.39,0.12,0.44,0.51,0.15,0.2,0.2,0.34,0.06
wgs-assembler.csv,0.3,0.31,0.44,0.45,0.09,0.65,0.64,0.0,0.13,0.97,0.17,0.62,0.67,0.73,0.46,0.2,0.48,0.04,0.25,0.44
